accomplishment,"n. 成就, 完成"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
outcome,"n. 结果, 出口"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
pigment,"n. 色素, 色质, 颜料
"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
pottery,"n. 陶器, 陶器厂
"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
rumor,"n. 谣言, 传闻
vt. 谣传"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
seashore,"n. 海岸, 海滨"
similar,"a. 相似的, 类似的
n. 相似的东西"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
stratum,"n. 层, 地层, 阶层
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
supplant,"vt. 排挤掉, 代替"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
wick,"n. 灯芯, 油绳"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
acquire,"vt. 获得, 学到
"
aerobic,"a. 需氧的, 需氧菌产生的, 增氧健身法的
"
amid,"prep. 在其间, 在其中
"
ammonia,"n. 氨水, 阿摩尼亚
"
anthropology,"n. 人类学
"
arithmetic,"n. 算术, 算术知识
"
artificial,"a. 人造的, 假的, 非原地产的
"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
blip,"n. 光点, 清脆的短音
"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
caribou,n. 北美驯鹿
cautious,"a. 谨慎的, 小心的"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
cholesterol,"n. 胆固醇
"
coexist,vi. 共存
constrain,"vt. 强迫, 限制, 关押"
counselor,"n. 顾问, 参事, 法律顾问"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
demonstrate,"vt. 示范, 证明
vi. 示威"
downward,a. 向下的
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
entrepreneurial,"a. 创业的, 具有企业精神的; 企业性质的"
equator,"n. 赤道
"
evidence,"n. 根据, 证据, 迹象
"
explicit,"a. 详述的, 清楚的, 直言的"
generation,"n. 一代, 一世, 产生
"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
gravitational,a. 重力的
grocery,"n. 食品杂货店, 食品杂货业"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
harmony,"n. 协调, 和睦, 调和
"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
identification,"n. 识别, 身份证明, 认同
"
immense,"a. 极广大的, 无边的, 非常好的"
impart,"vt. 给予, 传授, 告知"
inception,"n. 起初, 获得学位"
insanity,"n. 疯狂, 愚顽, 精神错乱
"
interaction,"n. 交互作用, 交感
"
lengthen,"vt. 加长, 使延长
vi. 变长"
linguistic,"a. 语言的, 语言学的
"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
luminous,"a. 发光的, 明亮的
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
meridian,"n. 子午线, 经线, 顶点
a. 子午线的, 最高点的, 顶点的"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
octopus,n. 章鱼
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
provincialism,"n. 乡下习气, 方言, 地方风俗"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
recruitment,"n. 新兵征召
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
stadium,"n. 露天大型运动场
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
tragic,"a. 悲惨的, 悲剧的"
uppermost,"a. 最高的, 最上面的
adv. 在最上面, 在最高处"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vascular,"a. 血管的, 维管的
"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
withstand,"vt. 抵住, 顶住, 经得起"
abreast,"adv. 并肩地, 并列地"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
admission,"n. 准许进入, 入场费, 录用, 承认
"
amino,"a. 氨基的
"
appliance,"n. 器械, 用具, 应用
"
atom,"n. 原子, 核能, 微粒, 微量
"
attendance,"n. 出席, 出席的人数, 照料
"
augment,"v. 增加, 增长
"
barren,"a. 不育的, 贫瘠的
n. 荒地"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
calculate,"v. 计算, 预测, 计划, 打算"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
cavity,"n. 洞, 空穴, 腔
"
celebrate,"v. 庆祝, 祝贺, 举行"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
circular,"a. 圆形的, 循环的, 间接的
"
clinic,"n. 诊所, 临床教学
"
condiment,"n. 辛辣调味品
"
counseling,n. 咨询服务
craftsman,"n. 工匠, 技工, 手艺人"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
decorate,v. 装饰
dedication,"n. 奉献, 献身, 献辞
"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
destruction,"n. 破坏, 毁灭
"
dinosaur,n. 恐龙
distinct,"a. 清楚的, 显著的, 不同的"
disturbance,"n. 扰乱, 不安, 忧虑
"
dominate,"v. 支配, 占优势"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
exceptional,"a. 例外的, 异常的, 特别的"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
gland,"n. 腺, 密封套
"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
immigrant,"n. 移民
a. 移入的, 移民的"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
interstellar,a. 星际的
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
liberty,"n. 自由, 特权, 许可, 冒失
"
meteorological,"a. 气象的, 气象学的"
midterm,"a. 中期的
n. 期中考试"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
pancreas,"n. 胰腺
"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
perishable,"a. 易腐坏的, 会枯萎的, 易毁灭的, 不经久的
n. 易腐坏的东西"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
pliable,"a. 易弯的, 柔顺的, 圆通的"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
radius,"n. 半径, 范围, 辐射光线
"
reapply,"[法] 再申请, 再运用"
rectangle,"n. 长方形, 矩形
"
remaining,[电] 剩余的
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
ridiculous,"a. 荒谬的, 可笑的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
significantly,adv. 值得注目地；意味深长地
signify,"vt. 象征, 预示
vi. 要紧, 重要"
statistic,"n. 统计量
a. 统计的, 统计学的"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
tornado,"n. 旋风, 龙卷风, 大雷雨"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
wanna,"vt. 要(做), 想(做), 想要(某物)"
wedge-shaped,楔状
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
wispy,"a. 小束状的, 细微的, 飘渺的"
yarn,"n. 纱, 纱线, 故事
"
abolition,"n. 废除, 废奴运动
"
accordion,"n. 手风琴
a. 可折叠的"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
aria,"n. 独唱特写镜头, 咏叹调"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
assert,"vt. 主张, 坚称, 断言
"
bagel,n. 百吉饼（先蒸后烤的发面圈）；[俚]（体育比赛中）零蛋
barber,n. 理发师
circumference,"n. 圆周, 周缘, 胸围
"
civil,"a. 市民的, 公民的, 有礼貌的
"
clinical,"a. 临床的, 门诊部的
"
coalition,"n. 结合体, 结合, 联合
"
competing,a. 相互矛盾的；抵触的
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confused,"a. 困惑的, 混乱的"
consider,"v. 考虑, 思考, 认为"
contamination,"n. 污染, 污物
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
drainage,"n. 排水
"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
envision,"vt. 想象, 预想"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
factual,"a. 事实的, 实际的
"
familiarize,"vt. 使熟悉, 使熟知, 使通俗化"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
flavoring,n. 调味料
homestead,"n. 家园, 田产
"
hospitable,"a. 好客的, 招待周到的"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
intelligent,"a. 聪明的, 智能的, 了解的"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
medication,"n. 药物治疗, 药物处理, 医药
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
miracle,"n. 奇迹, 奇事"
motif,"n. 主题, 基调, 动机, 基本图案
"
multitude,"n. 多数, 群众"
mundane,"a. 现世的, 世俗的, 宇宙的"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
nectar,"n. 神酒, 甜美饮料, 甘露"
oasis,"n. 绿洲, 舒适的地方
"
olfactory,"a. 嗅觉的, 味道的
n. 嗅觉器官, 嗅神经"
optimal,"a. 最佳的, 最理想的
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
pesticide,"n. 杀虫剂
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
potassium,"n. 钾
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
practical,"a. 实际的, 现实的, 实用性的
"
refined,"a. 精炼的, 优雅的, 精细的
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
roe,"n. 狍, 鱼子, 鱼卵
"
sake,"n. 目的, 缘故, 理由"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
sequoia,n. 红杉
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
statistics,"n. 统计学, 统计资料
"
statue,"vt. 以雕像装饰
n. 雕像"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
subsidy,"n. 补助金, 津贴
"
subsistence,"n. 生存, 生活
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
technique,"n. 技巧, 技术, 方法
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
terminology,"n. 术语, 术语学
"
violently,"adv. 猛烈地, 激烈地, 极端地"
academy,"n. 学院, 院校, 学会"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
acquaint,"vt. 使认识, 介绍"
adobe,"n. 风干土坯
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
aspect,"n. 外观, 方面, 面貌, 方向
"
asthma,"n. 哮喘
"
avenue,"n. 大街, 途径, 林荫路"
barb,"n. 倒钩
vt. 装倒钩于"
barrel,"n. 桶
vt. 装入桶内"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
concept,"n. 观念, 概念
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
consort,"n. 配偶, 夫妻
vi. 陪伴, 结交, 符合
vt. 使结合"
constantly,"adv. 不变地, 不断地, 时常地"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
correspond,"vi. 符合, 通信, 相当
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
declaration,"n. 宣告, 说明, 宣布
"
decrease,"n. 减少, 减少量
v. 减少"
delectable,"a. 令人快乐的, 美味的, 使人愉快的"
dependable,"a. 可信任的, 可靠的, 可信赖的"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
disrepute,"n. 丧失名誉, 坏名声, 不名誉"
diversion,"n. 转移
"
efficient,"a. 有效率的, 能干的"
effluent,"a. 流出的, 射出的
n. 流出物, 由河湖等流出之水流"
emergence,"n. 出现, 浮现, 发生"
entrenched,"a. 牢固的, 根深蒂固的"
exciting,"a. 令人兴奋的, 刺激的
"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
gigantic,"a. 巨人般的, 巨大的"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
henceforth,"adv. 自此以后, 今后"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
hint,"n. 暗示, 提示
v. 暗示, 示意"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
infrastructure,"n. 基础结构, 基础设施
"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
legislation,"n. 立法, 法律
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mosquito,"n. 蚊子
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
radar,"n. 雷达, 无线电探测器
"
reciprocity,"n. 相互性, 相互作用, 互惠主义
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
