intellect,"n. 智力, 出众的才华, 知识分子
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
cognitive,"a. 认知的, 认识的"
intermarriage,"n. 异族结婚, 近亲结婚
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
exist,"vi. 存在, 生存, 发生"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
Internet,[网络] 互联网；因特网；网际网路
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
anti-smoking,"n. 反对吸烟；禁止吸烟
adj. 反对吸烟的
v. 反对吸烟（antismoke的现在分词）"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
exorable,a. 可说服的
Internet-based,[网络] 以网络为基础的；网考；基于互联网
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
describe,"vt. 描述, 描绘, 画"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
expect,"vt. 预期, 盼望, 期待"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
expend,"vt. 花费, 消耗, 用光"
fright,"n. 惊骇, 吃惊
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
aftermath,"n. 结果, 后果
"
astonishing,a. 令人惊讶的
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
British,"a. 英国的
n. 英国人, 英国英语"
claimant,"n. 提出要求者, 原告
"
cortisol,"n. 皮质醇, 氢化可的松
"
delighted,"a. 高兴的, 快乐的"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
dual,"a. 双重的, 双的
n. 双数"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
genius,"n. 天才, 天赋, 精神, 神魔
"
handful,"n. 少数, 一把, 棘手事"
illness,"n. 疾病, 恶意
"
infuriating,"a. 令人大怒的
v. 使大怒, 激怒( infuriate的现在分词)"
interference,"n. 冲突, 干涉
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
observation,"n. 观察, 注意, 观测, 观察力
"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
performer,"n. 表演者, 执行者, 完成者
"
Portugal,n. 葡萄牙
retrospection,"n. 回顾, 追忆, 反省
"
scarcity,"n. 缺乏, 不足, 缺少
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
workaholic,"n. 工作迷, 醉心于工作的人
"
colony,"n. 殖民地, 移民队
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
sociology,"n. 社会学
"
two-paycheck,adj. 有双份收入的；双职工的
dispose,"vt. 处理, 排列, 布置
vi. 处置"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
explain,"v. 解释, 说明"
introduce,"vt. 介绍, 引入, 采用, 输入
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
intrude,"vi. 闯入, 侵入
vt. 强加于"
playgoing,n. 看戏
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
dissatisfaction,"n. 不满, 不平"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
invent,"vt. 发明, 创作, 虚构
"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
sonar,"n. 声纳
"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
distaste,"n. 讨厌, 嫌恶"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
soothing,"a. 抚慰的, 使人宽心的
"
arc,"n. 弧, 弧形, 弓形, 弧光
"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
futurologist,n. 未来学家
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
disturb,"vt. 扰乱, 妨碍, 使不安
"
extent,"n. 范围, 程度, 区域
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
argument,"n. 争论, 论证, 论据, 自变量
"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
against,"prep. 反对, 对着, 倚靠"
better,"a. 较好的
adv. 比较好"
Briton,"n. 大不列颠人, 英国人"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
delusion,"n. 迷惑, 欺瞒, 错觉
"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
genuinely,adv. 真诚地；诚实地
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
jury,"n. 陪审团, 评判委员会
a. 应急的"
line-up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
medicaid,"n. 医疗补助方案, 医疗补助项目
"
monthly,"n. 月刊
a. 每月的, 每月一次的"
occasionally,"adv. 有时候, 偶而"
overly,"adv. 过度地, 极度地"
persuasion,"n. 说服, 信念, 派别, 说服力"
refocus,vt. 重调…的焦距
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
inherent,"a. 固有的, 与生俱来的
"
scattered,"a. 分散的, 散乱的
"
silly,"a. 愚蠢的, 糊涂的"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
successive,"a. 继承的, 连续的
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
unemployed,"a. 失业的, 未被利用的
"
upstart,"n. 新贵, 暴发户, 自命不凡者
a. 暴富的"
wealthy,"a. 富有的, 丰裕的, 充分的"
workday,"n. 工作日, (一天的)工作时数
"
circuit,"n. 电路, 环(行)道, 巡回
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
poet,n. 诗人
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
domain,"n. 领域, 领土, 产业, 范围
"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
arrange,"v. 安排, 排列, 达成协议
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
pointless,"a. 不尖的, 钝的, 不得要领的"
ridge,"n. 脊, 山脊, 山脉
"
community,"n. 社区, 公众, 共有, 共同体
"
irresponsibility,"n. 无责任, 不承担责任的行为
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
arrival,"n. 到达, 抵达, 到达者
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
righteous,"a. 公正的, 正义的, 正直的
"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
item,"n. 项目, 条款, 一则, 项
"
policy,"n. 政策, 方针, 策略, 保险单
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
arrow,"n. 箭, 箭状物, 箭头记号"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
policymaker,n. 政策制定者；决策人
species,"n. 种, 类, 外形
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
arthritis,"n. 关节炎
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
ripe,"a. 成熟的, 熟练的, 成年的
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
population,"n. 人口, 人口数
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
evaluate,"vt. 评估, 评价, 赋值"
compete,"vi. 竞争, 对抗"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
rival,"n. 对手, 竞争者
a. 竞争的"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
complain,"v. 抱怨, 抗议, 控诉"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
athlete,"n. 运动员, 运动选手
"
bidder,"n. 出价人, 投标人
"
broadband,[计] 宽带
clarity,"n. 清楚, 明晰
"
costless,"a. 没有成本的, 不需花钱的"
disengage,"vt. 使脱离, 使松开, 使摆脱约束(或义务等)
vi. 脱离, 解脱"
dweller,n. 居民
explicitly,adv. 明确地；明白地
fire-prone,un. 有火灾危险的
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
inhabitant,"n. 居民, 居住者
"
internal,"a. 内在的, 国内的
"
kingdom,"n. 王国, 领域
"
medication,"n. 药物治疗, 药物处理, 医药
"
mood,"n. 心情, 气氛, 生气, 基调
"
offering,"n. 提供, 奉献物, 牲礼, 上市的股票(或证券等)
"
overpack,第二层包装
prairie,"n. 大草原, 草甸"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
simplify,"vt. 单一化, 简单化"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
terrify,"vt. 使恐惧, 恐吓"
unintentionally,"adv. 非故意地, 非存心地; 无意之中"
urgent,"a. 紧急的, 急迫的, 催逼的
"
weapon,"n. 武器, 兵器
vt. 武装"
workload,"n. 工作量
"
drawn,"a. 拔出的
draw的过去分词"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
assess,"vt. 估定, 对...征税, 评定
"
role,"n. 角色, 职责, 任务
"
postmodern,a. 后现代的
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
conception,"n. 观念, 概念
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
spouse,n. 配偶
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
spymaster,n. 间谍组织的首脑
asteroid,"n. 小行星, 海盘车
a. 星状的"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
dumb,"a. 哑的, 不说话的, 无声音的
"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
astray,"adv. 迷途地, 入歧途地
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
durable,"a. 持久的, 耐用的"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
predator,"n. 食肉动物, 掠夺者
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
predict,"v. 预知, 预言, 预报"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
prefer,"vt. 宁可, 较喜欢, 提出
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
prefrontal,"a. 前额的
"
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
attitude,"n. 态度, 看法, 姿势
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
attorney,"n. 代理人, 律师
"
prehistoric,"a. 历史以前的, 史前的"
airport,"n. 飞机场
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
biologist,"n. 生物学家
"
broadly,"adv. 宽广地, 明白地, 无礼貌地"
confidence,"n. 信心
"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
dishonest,"a. 不诚实的
"
ecology,"n. 生态学, 社会生态学
"
expression,"n. 表达, 表现, 词语, 措辞
"
first-timer,n. 初次做某事者
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
happen,"vi. 发生, 发生, 恰巧"
immediately,"adv. 直接地, 立刻, 立即"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
location,"n. 位置, 场所, 特定区域
"
member,"n. 成员, 会员
"
moola,n. 金钱
offline,"[计] 挂线, 脱机"
overpay,"vt. 多付, 多给报酬
vi. 付得过多"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
precondition,"vt. 事先准备, 事先处理
n. 先决条件, 前提
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
site,"n. 位置, 场所, 地点
vt. 给...择址"
standstill,"n. 停止, 停顿
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
terrorist,"n. 恐怖分子
"
training,"n. 训练, 培养
"
unity,"n. 一致, 联合, 单一(性), 个体
"
usefulness,"n. 有用, 有益
"
website,n. 网站（全球资讯网的主机站）
conjunction,"n. 连接词, 联合, 结合
"
auction,"n. 拍卖
vt. 拍卖"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
audience,"n. 听众, 观众, 读者
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
statistics,"n. 统计学, 统计资料
"
augment,"v. 增加, 增长
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
status,"n. 状态, 情形, 地位, 要人身份
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
consider,"v. 考虑, 思考, 认为"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
automotive,a. 汽车的
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
pronounce,"v. 发音, 宣告, 断言"
