identical,"a. 同一的, 恒等的, 完全相同的
"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
tarry,"vi. 耽搁, 逗留, 留住, 等候
n. 逗留
a. 涂了焦油的"
vat,"n. 大桶
vt. 装入大桶, 在大桶里处理"
annul,"vt. 废除, 宣告无效, 取消
"
braille,"n. 布莱叶点字法(盲人用点字法)
vt. 用布莱叶点字法印刷"
condom,"n. 避孕套
"
diocese,n. 主教教区
falter,"vt. 支吾地说
vi. 支吾, 蹒跚地走
n. 颤抖, 支吾, 踌躇"
fudge,"n. 虚构的故事, 谎言, 胡说
interj. 胡说八道
vi. 蒙混, 做傻事
vt. 粗制滥造, 捏造, 逃避职责"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
narcotic,"n. 麻醉药, 镇静剂
a. 麻醉的, 催眠的"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
serrated,"a. 锯齿状的
"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
vanilla,"n. 香草, 香子兰"
animosity,"n. 仇恨, 憎恶, 敌意"
braid,"n. 辫子, 穗带
vt. 编成辫, 镶边"
dingy,"a. 暗淡的, 昏暗的, 邋遢的"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
fuddle,"vt. 灌醉, 使烂醉, 使迷糊
vi. 狂饮
n. 烂醉"
harass,"vt. 使困扰, 使烦恼, 折磨"
loll,"vi. 懒散地闲荡, 垂下头, 伸舌
vt. 垂, 伸, 靠着"
narcissus,n. 水仙
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
serpent,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
splutter,"n. 喷溅声
vi.vt. 急促而慌乱地说
vi. 发出吐唾沫声"
tarmac,"n. 柏油碎石, 柏油碎石路"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
bout,"n. 一回, 回合, 较量
"
concubine,"n. 妾, 姘妇
"
dinghy,"n. 小船, 橡皮筏, 小艇"
falcon,"n. 隼, 猎鹰"
frugal,"a. 节俭的, 朴素的"
harangue,"n. 演讲, 热烈讨论, 长篇大论, 夸夸其谈
vt. 向...夸夸其谈地讲话"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
loiter,"v. 闲荡, 虚度, 徘徊"
nappy,"n. 尿布, 菜盆
a. 起毛的, 多毛的, 酒精含量高的"
platoon,"n. 排, 一组, 一群人"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
sermon,"n. 说教, 启示, 布道"
splinter,"n. 碎片, 尖片, 分裂出来的小派别, 微小的东西
v. 使分裂, (使)破裂"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
valet,"n. 贴身男仆
vt. 伺候"
bouquet,"n. 花束
"
din,"n. 喧嚣
v. 絮絮不休地说, 喧闹"
din,"n. 喧嚣
v. 絮絮不休地说, 喧闹"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
committee,"n. 委员会
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committed,"a. 献身于某种事业的
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commissioner,"n. 委员, 理事, 行政长官
"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
drive-in, 驶进; 打入; 强行灌输; 敲进
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
adrift,"adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的"
drivel,"vi. 淌口水, 说傻话
vt. 胡说
n. 胡言乱语, 糊涂话"
drool,"vi. 流口水, 淌, 胡说八道
vt. 从嘴淌下, 过分动感情地表示
n. 口水, 胡说"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
deface,"vt. 损伤外观
"
efface,"vt. 抹去, 消除, 忘却"
self-effacing,"a. 不出风头的, 不喜出风头的, 谦让的"
facade,"n. 建筑物的正面, 外观, 表面"
facet,"n. (多面体的)面, 方面, 琢面
"
facing,"n. 贴边, 饰面
"
interface,"n. 分界面, 接触面, 界面
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
desegregate,v. 废止种族隔离
gregarious,"a. 社交的, 群居的"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
afoot,"a. 徒步的, 在进行中的, 活动中的
adv. 徒步, 在进行中"
foothill,n. 山麓小丘
foothold,"n. 立足处, 据点, 根据地"
footloose,"a. 自由自在的, 能做所要做的, 不受束缚的"
footman,"n. 马夫, 仆役"
footnote,"n. 脚注
"
footpath,"n. 步道, 人行道, 小路"
footprint,"n. 足迹
"
footwear,"n. 鞋类, 靴类"
footwork,"n. 脚的动作, 脚力, 现场采访活动"
fetter,"n. 脚镣, 羁绊, 束缚
vt. 束缚, 加脚镣"
expedient,"n. 权宜之计
a. 权宜的, 方便的, 有用的"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
expedition,"n. 远征, 探险队, 迅速"
impede,"vt. 妨碍, 阻碍, 阻止"
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
millipede,"n. 千足虫
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pedestal,"n. 支柱, 基架, 基座, 基础
vt. 加座, 搁在台上, 支持, 提高...的地位"
pedigree,"n. 血统, 家谱, 名门世系
"
grammar,"n. 语法学, 入门书
"
grammatical,"a. 语法的, 合乎语法的
"
anagram,n. 回文构词法
epigram,"n. 警句, 讽刺短诗"
histogram,"n. 直方图
"
hologram,"n. 全息照相图
"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
impolite,"a. 无礼的, 粗鲁的"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
metro,n. 地铁
metropolis,"n. 大都市, 重要中心, 首府
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
resounding,"a. 响亮的, 轰动的"
ultrasound,"n. 超声
"
consonant,"n. 辅音
a. 一致的, 调和的"
dissonance,"n. 不和谐音, 不一致, 不调和, 刺耳的声音
"
liaison,n. 联络
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
sonar,"n. 声纳
"
sonata,n. 奏鸣曲
sonnet,n. 十四行诗
supersonic,"a. 超声波的
"
ultrasonic,"n. 超声波
a. 超音速的"
tangent,"a. 接触的, 正切的, 离题的
n. 切线, 正切"
attain,"vt. 达到, 获得
vi. 达到"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
intangible,"a. 难以明了的, 无形的
"
entangle,"vt. 使纠缠, 卷入, 使混乱"
disentangle,"vi. 解开纠结, 松开, 解决
vt. 解开, 松开"
contagion,"n. 触染, 触染病, 蔓延, 歪风
"
contagious,"a. 触染性的, 会蔓延的
"
integer,"n. 完整的事物, 整体, 整数
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
disintegrate,"vt. (使)分解, (使)碎裂
"
disintegration,"n. 瓦解
"
integrity,"n. 正直, 廉正, 完整
"
contingency,"n. 偶然性, 可能性, 意外事故
"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
tact,"n. 机智, 手法, 老练
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tactical,"a. 战术的, 用兵上的, 策略的"
tactful,"a. 机智的, 老练的"
tactician,"n. 战术家, 谋士"
thesis,"n. 论题, 论文"
hypothesis,"n. 假设
"
parenthesis,"n. 圆括号, 插入语, 附带, 插曲"
synthesis,"n. 综合, 组织, 综合体
"
synthesize,"v. 综合, 合成"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
year,"n. 年, 年度, 年龄
"
yearly,"a. 每年的, 一年一度的
adv. 一年一次, 每年"
annals,"n. 编年史, 活动年报, 历史"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
annuity,"n. 年金, 年金保险, 年金领受权
"
millennium,"n. 千禧年, 一千年"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
suicidal,"a. 自杀的, 自杀性的, 自我毁灭的
"
homicide,"n. 杀人, 杀人者
"
insecticide,"n. 杀虫剂
"
pesticide,"n. 杀虫剂
"
concise,"a. 简洁的, 简明的"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
incise,"vt. 切割, 雕刻
"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
précis,无
precise,"a. 精确的, 严谨的, 明确的
"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
chisel,"n. 凿子
v. 凿, 刻, 雕凿, 欺骗"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
circuit,"n. 电路, 环(行)道, 巡回
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initially,"adv. 最初, 开头"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transitive,"a. 及物的
n. 及物动词"
intransitive,"a. 不及物的
n. 不及物动词"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
receptive,"a. 能接纳的
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
acceptable,"a. 可接受的, 合意的, 可忍受的"
unacceptable,"a. 无法接受的, 不受欢迎的
"
inception,"n. 起初, 获得学位"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
susceptibility,"n. 敏感性, 感情
"
conceive,"vt. 构思, 认为
vi. 怀孕"
conceivable,"a. 想得到的, 可想象的, 可理解的"
inconceivable,"a. 不能想象的, 想不到的, 难信的"
concept,"n. 观念, 概念
"
conception,"n. 观念, 概念
"
conceptual,"a. 概念的
"
contraception,"n. 避孕, 避孕法
"
contraceptive,"a. 避孕的
n. 避孕剂, 避孕用具"
conceit,"n. 自负, 空想, 狂妄"
conceited,"a. 自负的, 逞能的, 狂想的"
deceive,"v. 欺骗, 行骗"
deception,"n. 欺骗, 诡计
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
deceit,"n. 欺骗, 谎言
"
deceitful,a. 欺诈的
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
froth,"n. 泡, 泡沫, 琐物
vt. 使生泡沫
vi. 发泡, 吹泡"
hanker,"vi. 渴望, 热切希望"
impeach,"vt. 控告, 怀疑, 检举, 弹劾
"
loin,"n. 腰部, 腰肉
"
napkin,"n. 餐巾, 餐巾纸, 尿布"
platinum,"n. 白金, 铂, 银灰色
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
serenade,"n. 小夜曲
v. 唱小夜曲"
spleen,"n. 脾脏, 坏脾气, 怨恨
"
tar,"n. 焦油, 柏油, 水手
vt. 涂以焦油, 玷污, 怂恿
a. 焦油的"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
amenable,"a. 服从的, 会接纳的, 有义务的
"
bough,n. 大树枝
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
dimple,"n. 酒窝, 涟漪
vt. 使起涟漪"
fad,"n. 时尚
"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
"
logo,"n. 连合活字, 商标, 徽标
"
nape,"n. 项, 颈背
"
plaque,"n. 匾, 饰板, 名牌, 勋章, 胸襟饰物, 血小板"
requiem,"n. 安魂曲, 安灵曲, 挽歌, 悲歌"
sepulcher,"n. 坟墓
vt. 埋葬"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
tapestry,"n. 挂毯, 绒绣
vt. 用挂毯装饰"
uranium,"n. 铀
"
amalgamate,"v. 使汞齐化, 合并"
booze,"vi. 豪饮
n. 酒, 酒宴"
colt,"n. 小马, 苔绳, 无经验的年轻人"
dilettante,"n. 业余爱好者
a. 外行的, 浅薄的"
fetus,"n. 胎儿
"
foetus,"n. 胚胎, 胎儿
"
frock,"n. 女礼服, 连衣裙, 工装, 罩袍, 僧衣"
hammock,"n. 吊床
"
imbue,"vt. 使感染, 灌输, 使浸透"
logistics,"n. 后勤学, 后勤
"
nag,"n. 老马, 驽马, 劣等竞赛马, 唠叨
v. 不断地唠叨, 恼人"
plank,"n. 厚木板, 支架, 木板制品, 冲浪板, 救急物, 政纲条目
vt. 在...上铺板, 撂下, 立即付款"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
taper,"n. 带子操作工, 小蜡烛, 尖细, 渐弱, 锥形, 尖塔
a. 尖细的, 分等级的
v. (使)一头逐渐变细, (使)逐渐减少"
upholster,"vt. 为(沙发等)装上垫, 装饰, 装璜"
alumna,"n. 女毕业生, 女校友"
boon,n. 恩惠
colon,"n. 冒号, 结肠
"
semicolon,"n. 分号
"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
exult,"vi. 非常高兴, 欢欣"
fro,"adv. 向那边, 向后"
hamlet,"n. 小村, 部落"
imbibe,"vt. 饮, 吸取, 吸入
vi. 喝, 吸收水分"
lobe,"n. 叶, 耳垂, 裂片
"
nab,"vt. 捉住, 逮捕, 抢夺
"
plaid,"n. 格子花呢披风, 格子花呢, 格子图案"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
selenium,"n. 硒
"
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
tantrum,"n. 发脾气, 发怒
"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
booby trap,"n. 诡雷, 陷阱
v. 在…安陷阱"
dilapidated,"a. 破坏的；荒废的, 要塌似的"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
frizzy,a. 卷曲的
halter,"n. 缰绳, 笼头
"
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
livid,"a. 铁青的
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
piston,"n. 活塞, 活塞阀键
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
artful,"a. 巧妙的, 狡猾的"
artifact,"n. 人工制品
"
artifice,"n. 诡计, 技巧, 巧妙"
artificial,"a. 人造的, 假的, 非原地产的
"
artisan,"n. 工匠, 技工
"
behind,"adv. 在后地
prep. 在...背后"
hind,"n. 雌鹿
a. 后部的, 在后的"
hindmost,"a. 最后面的, 最后部的"
hindquarters,"n. 后腿, 后半部"
hindsight,"n. 枪的表尺, 事后聪明"
hinder,"a. 后面的
v. 阻碍, 打扰"
hindrance,"n. 妨害, 障碍, 阻碍物"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
briefing,"n. 简报
"
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
brevity,"n. 短暂, 简短"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
suggestive,"a. 提示性的, 影射的, 暗示的
"
congested,"a. 拥挤的, 堵塞的
"
congestion,"n. 拥挤, 充血
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
digestible,"a. 可消化的, 易消化的, 可摘要的
"
digestion,"n. 消化力, 领悟
"
digestive,"a. 消化的, 助消化的
n. 助消化药"
indigestion,"n. 消化不良
"
gesticulate,"v. 用手势谈话, 用姿势表达"
exaggerate,"v. 夸大, 夸张"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
registrar,"n. 记录者, 登记者, 登记官员
"
registration,"n. 登记, 挂号, 注册
"
registry,"n. 登记处, 登记名册
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fanciful,"a. 奇怪的, 稀奇的, 想像的"
fantasy,"n. 幻想, 想象的产物
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
fantasize,"vt.vi. 想象, 出现幻想, 产生幻想, 使幻想化, 幻想"
phantasm,"n. 幻影, 梦境, 幽灵, 心像, 幻像
"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disturbance,"n. 扰乱, 不安, 忧虑
"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
turbid,"a. 浑浊的, 污浊的, 混乱的, 雾重的
"
turbine,"n. 涡轮机
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
electric,"a. 电的, 导电的, 电动的
"
hydroelectric,"a. 水力电气的
"
electrocute,"vt. 以电椅处死, 以电击杀死, 通电致死
"
electrode,"n. 电极
"
electroplate,"vt. 电镀
n. 电镀物品"
electroscope,"n. 验电器
"
electrostatic,"a. 静电的, 静电学的
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
disgraceful,"a. 可耻的, 不名誉的"
ungracious,"a. 无礼貌的, 不和蔼的, 没有吸引力的"
gratuitous,"a. 免费的, 无理由的
"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
ungrateful,"a. 忘恩负义的, 使人不愉快的, 徒劳的, 讨厌的"
gratitude,n. 感激之情
ingratitude,n. 忘恩负义
gratify,vt. 使满足
ingratiate,"vt. 使迎合, 使讨好"
ingratiating,"a. 逢迎的, 迎合的"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
naturalize,"vt. 授与...以国籍, 使入国籍, 移植, 移养, 采纳, 顺化, 归化"
innate,"a. 先天的, 天生的
"
prenatal,"a. 出生以前的, 孕期的
"
naive,"a. 天真的, 纯真的, 幼稚的"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
picket,"n. 桩, 尖桩, 警戒哨, 巡逻艇, 纠察队
vt. 围住, 警戒, 派...担任纠察
vi. 担任纠察"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
"
henpecked,"a. 怕老婆的, 惧内的, 老婆当家的"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
pike,"n. 长矛, 尖头, (体操)屈体, 流浪者, 狗鱼, 通行费
vi. 用矛刺杀, 刺, 离开, 谨慎办事, 采用屈体姿势"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
immaterial,"a. 非物质的, 无形的, 精神的
"
materialize,"vt. 赋予实质, 使体现, 物质化
vi. 成有形, 体现, 实现"
materialism,n. 唯物主义
maternal,"a. 母亲的, 母系的, 母方的
"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
matriarch,"n. 女家长, 女族长"
