international,"a. 国际的
n. 国别设定
"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
bole,"n. 树干
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
polarization,"n. 极化, 极化强度, 偏振, 两极分化
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
she,pron. 她
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
wings,"n. 舞台两侧, 侧景"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
hither,"a. 这边的, 在这边的
adv. 向这边, 向此处"
hitherto,"adv. 迄今, 至今"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
went,go的过去式
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
ventile,(指纺织品)预定可以防水而同时允许空气流通的
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
advent,"n. 来到, 来临"
convention,"n. 大会, 协定, 惯例, 约定
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
avenue,"n. 大街, 途径, 林荫路"
conventional,"a. 传统的, 习惯的, 约定的
"
intervene,"vi. 插入, 调停, 干涉
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
coincide,"vi. 一致, 符合
"
coincidence,"n. 巧合, 同时发生
"
effort,"n. 努力, 成就"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
literary,"a. 文学的, 文艺的, 精通文学的
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
militant,a. 好战的
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
anthropic,"a. 人类的, 有关人类的"
ethnic,"a. 人种的, 种族的
"
anthropology,"n. 人类学
"
philanthropic,"a. 慈善(事业)的, 博爱的, 乐善好施的
"
android,"n. 机器人
"
immerge,"vi. 浸入, 隐没, 埋头"
immerse,"vt. 沉浸, 使陷入
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
shortage,"n. 不足, 缺乏
"
property,"n. 财产, 所有权, 性质, 属性
"
poverty,"n. 贫穷, 贫困, 缺乏
"
impoverish,"vt. 使贫穷, 耗尽...的力气"
enrich,"vt. 使富足, 使肥沃"
impoverish,"vt. 使贫穷, 耗尽...的力气"
appendix,"n. 附录, 附加物, 阑尾
"
dick,"n. 家伙, 词典, 誓言(书)
"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
strategos,n. (古希腊等的)将军
strategy,"n. 战略, 策略
"
strategic,"a. 战略的, 战略上的
"
adjustment,"n. 调整, 调节, 校正
"
demos,"n. 人民, 民众, 大众
"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberately,adv. 故意地
liberate,"vt. 解放, 释放, 使自由
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
considerable,"a. 相当的, 可观的, 重要的"
consideration,"n. 考虑, 原因
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fans,"n. 风扇；狂热者, 粉丝（fan的复数形式）"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
committee,"n. 委员会
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
watermelon,n. 西瓜
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
mingle,v. (使)混合
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
biased,"a. 有偏见的
"
unbiased,"a. 没有偏见的
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
analyse,"vt. 分析, 细察, 分解
"
paralyze,"vt. 使瘫痪, 使麻痹
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
analysis,"n. 分析
"
analytic,"a. 分析的, 善于分析的, 解析的
"
synthesize,"v. 综合, 合成"
synthesis,"n. 综合, 组织, 综合体
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
owe to,"v. 由于；把…归功于
"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
bewilder,"vt. 使迷惑, 使不知所措"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
deplete,"vt. 耗尽, 使衰竭
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
hospitality,"n. 款待, 亲切, 殷勤"
hospital,"n. 医院
"
hostility,"n. 敌意, 敌对, 反对"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
fiction,"n. 小说, 虚构故事
"
science fiction," 科幻, 科学幻想小说; 科幻小说"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
comply,"vi. 顺从, 依从
"
complaint,"n. 诉苦, 抱怨, 控诉
"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
trash,"n. 垃圾, 废物
vt. 丢弃"
rubbish,"n. 废物, 垃圾, 胡说"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
vitamin,"n. 维生素
"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
a bosom friend,无
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bottom line,"n. 概要, 账本底线"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
ratio,"n. 比, 比率
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
rational,"a. 理性的, 合理的
n. 有理数"
emotional,"a. 情绪的, 情感的
"
emotion,"n. 情绪, 激动, 强烈的情感
"
rational,"a. 理性的, 合理的
n. 有理数"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vigor,"n. 精力, 活力"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
obsess,"vt. 迷住, 使困扰"
obsession,"n. 困扰, 困扰人的情绪
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
assess,"vt. 估定, 对...征税, 评定
"
asset,"n. 资产, 有益的东西"
enhance,"vt. 提高, 加强, 增加"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
genius,"n. 天才, 天赋, 精神, 神魔
"
ingenuous,"a. 坦白的, 正直的, 天真的"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
reside,"vi. 住, 居留, 属于
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
preside,"vi. 统辖, 当主人, 主持
"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
bra,"n. 奶罩
"
zebra,n. 斑马
greed,"n. 贪欲, 贪婪"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
ethical,"a. 伦理的, 民族的, 民族特有的
"
ethic,"n. 道德规范, 伦理"
ethics,"n. 道德规范
"
logical,"a. 合乎逻辑的, 合理的
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
logics,n. 逻辑（学）( logic的名词复数 ); 逻辑学; （做某事的）道理; 推理方法
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
hat,"n. 帽子
vt. 给...戴帽子"
deny,"v. 否认, 拒绝"
denial,"n. 否认
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
knight,"n. 骑士, 爵士
vt. 授以爵位"
augment,"v. 增加, 增长
"
auction,"n. 拍卖
vt. 拍卖"
August,"n. 八月
a. 威严的, 令人敬畏的"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
chaos,"n. 大混乱, 混沌
"
eventually,"adv. 最后, 终于"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
finally,"adv. 最后, 终于"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
hooked,"a. 钩状的, 有钩的, 用钩针编织的"
hooker,"n. 用钩子的人, 渔船"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
disgusting,a. 令人厌恶的
genius,"n. 天才, 天赋, 精神, 神魔
"
idiot,"n. 白痴, 极蠢之人
"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
defence,"n. 防卫, 防卫设备
"
defend,"vt. 防护, 辩护, 防卫
"
defendant,"n. 被告
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
vacation,"n. 假期, 休假
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
evacuate,"v. 疏散, 撤出, 排泄"
materialism,n. 唯物主义
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
mentalism,n. 心灵主义
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
prude,"n. 拘守礼仪的人, 故作正经的人"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
ascribe,"vt. 归因于, 归咎于
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representation,"n. 表示法, 表现, 陈述, 代表
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absence,"n. 缺席, 缺乏, 没有
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
divorce,"n. 离婚
vt. 与...离婚"
orthodox,"a. 正统的, 传统的, 惯常的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
eliminate,"vt. 除去, 排除, 剔除, 消除"
pubic,"a. 阴部的, 耻骨的
"
puberty,"n. 青春期, 春情发动期
"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
republic,"n. 共和国, 共和政体, 团体, 界"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
colony,"n. 殖民地, 移民队
"
colonial,"a. 殖民的, 殖民地的
"
clergy,"n. 牧师, 僧侣, 神职人员"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurable,"a. 可测量的, 不久的, 重要的"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
response,"n. 反应, 回答, 响应
"
correspond,"vi. 符合, 通信, 相当
"
irresponsible,a. 不负责任的；不可靠的
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
viable,"a. 能养活的, 能生长发育的
"
colony,"n. 殖民地, 移民队
"
colonial,"a. 殖民的, 殖民地的
"
cherish,"vt. 珍爱, 怀有, 爱护"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgent,"a. 纵容的, 任性的, 宽容的"
immerge,"vi. 浸入, 隐没, 埋头"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
discriminate,"v. 区别, 差别待遇"
penal,"a. 有关处罚的, 刑的, 刑罚的, 刑法上的, (课税)繁重的
"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
did,do的过去式
dedicate,"vt. 献出, 贡献"
dedicated,"a. 专注的, 献身的"
apply,"vt. 涂, 应用
vi. 申请, 适用"
