arroyo,"n. 干涸沟壑, 旱谷, 小河"
obtuse,"a. 钝的, 不锋利的, 愚钝的
"
purblind,"a. 半盲的, 愚钝的
vt. 使成半瞎"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
uncouth,"a. 笨拙的, 粗野的, 荒凉的"
unenlightened,"a. 愚昧无知的, 未受启发的"
ungainly,"a. 难看的, 不优雅的, 粗陋的"
uninitiated,"a. 外行的, 缺少经验的"
vacuous,"a. 空的, 空虚的, 没有思想的"
dolt,"n. 呆子, 笨蛋, 傻瓜"
dullard,"n. 蠢人, 笨蛋"
dunce,"n. 智力迟钝的学生, 傻瓜"
moron,"n. 低能者, 笨人
"
insensate,"a. 无感觉的, 迟钝的, 无生命的, 无情的"
insanity,"n. 疯狂, 愚顽, 精神错乱
"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
gawk,"n. 笨人, 呆子, 笨拙的人
vi. 痴呆着看"
maladroitness,"笨拙
不熟练"
artless,"a. 无虚饰的, 单纯的, 自然的"
bedizen,vt. 俗丽地打扮(或装饰)
dashing,"a. 闯劲足的, 有力的"
earthy,"a. 土的, 土质的, 土味的"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
foppish,"a. 浮华的, 矫饰的, 纨绔的, 傻的"
foppery,"n. (纨绔子弟的)打扮, 愚蠢的行为, 蠢事"
mundane,"a. 现世的, 世俗的, 宇宙的"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
raffish,"a. 名誉不好的, 无赖的, 卑鄙的, 俗艳的"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
slobber,"vi. 垂涎, 流口水, 情不自禁地说
vt. 流口水弄湿, 口齿不清地说, 处事马虎
n. 口水, 涎, 过分动情的话, 语无伦次的话"
scurrility,"n. 谈吐卑劣粗鄙, 刻薄嘴, 下流
"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
ultramundane,"a. 世界之外的, 太阳系外的, 超俗的, 非现世的"
unworldly,"a. 非现世的, 非尘世的, 超自然的, 精神上的, 超凡的, 出世的, 天真的"
bungle,"v. 拙劣地工作, 粗制滥造, 把...搞糟
n. 粗劣, 失误, 笨拙"
distracted,a. 心烦意乱的
distrait,a. 心不在焉的
halfhearted,"a. 不认真的, 无兴趣的, 不热心的"
inadvertence,"n. 漫不经心, 粗心大意, 疏漏, 错误
"
inadvertently,"adv. 漫不经心地, 疏忽地; 非故意地"
insouciance,n. 无忧无虑
insouciant,"a. 漫不经心的, 无忧虑的, 不在意的, 满不在乎的"
negligence,"n. 疏忽, 粗心大意, 忽视
"
perfunctorily,"adv. 敷衍地, 马虎地, 潦草地, 表面地"
sketchy,"a. 概略的, 草草完成的"
slapdash,"n. 草率
a. 猛烈的, 粗心的"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
negligent,"a. 疏忽的, 粗心的, 不在意的"
foolhardy,"a. 愚勇的, 有勇无谋的"
abrasive,"n. 研磨料
a. 有研磨作用的"
asperity,"n. 粗暴, 严酷, 粗糙"
brash,"a. 性急的, 仓促的, 无礼的, 傲慢的
n. 胃灼热, 骤雨, 碎石堆"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
grumpy,"a. 性情乖戾的, 脾气暴躁的, 生气的"
impertinence,"n. 不切题, 鲁莽, 无礼, 不恰当
"
insolent,"n. 侮慢无礼的人
a. 粗野的, 无礼的, 侮慢的"
loutish,"a. 粗野的, 无礼的"
opprobrious,"a. 嘴不干净的, 无礼的, 粗野的, 辱骂的, 该骂的"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
peremptory,"a. 断然的, 俨然的, 强制的, 不容置疑的, 急迫的
"
presumption,"n. 专横, 放肆, 假定, 推测
"
ribald,"a. 说话猥亵的, 下流的, 粗俗的
n. 说下流话的人"
recklessness,"[法] 鲁莽, 粗心大意"
scurrilous,"a. 说话粗鄙恶劣的, 下流的
"
snappish,"a. 要咬人的, 厉声说话的, 没好气的"
surly,"a. 不和蔼的, 无礼的, 板面孔的, 阴沉的, 粗暴的, 乖戾的"
unseemly,"a. 不合适的, 不适宜的, 不得体的"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
barbarian,"n. 野蛮人
a. 野蛮的"
madcap,"a. 鲁莽的, 冲动的
n. 鲁莽的人"
unlettered,"a. 未受教育的, 无学问的, 文盲的"
wrongdoing,"n. 干坏事, 坏事"
impertinent,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的"
churlish,a. 粗野的
boorish,"a. 粗野的, 粗鄙的"
pert,"a. 直言的, 唐突的, 爱管闲事的, 活跃的, 辛辣的, 令人兴奋的, 时髦的
"
boggle,"vi. 犹豫, 踌躇, 吃惊, 搪塞
vt. 搞坏
n. 犹豫, 吃惊"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
cringe,"n. 畏缩, 奉承
vi. 畏缩, 抖缩, 阿谀"
eerie,"a. 怪诞的, 可怕的, 奇异的, 令人迷惑不解的"
effeminate,"a. 柔弱的, 女人气的"
emasculate,"vt. 阉割, 使柔弱
a. 阉割了的, 柔弱的"
fainthearted,"a. 懦弱的, 无精神的, 胆小的"
flabby,"a. 软弱的, 没气力的, 不稳的, 松弛的"
flaccid,"a. 软弱的, 没气力的, 无活力的
"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
gutless,a. 无胆量的
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
pusillanimous,"a. 无勇气的, 胆怯的, 优柔寡断的"
quail,"n. 鹌鹑
vi. 胆怯, 畏缩"
spineless,"a. 无脊椎的, 没有骨气的, 懦弱的"
supple,"a. 柔软的, 逢迎的, 顺从的
vt. 使柔软, 使顺从"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
timid,"a. 胆小的, 羞怯的"
timidity,"n. 胆小, 胆怯, 羞怯"
timorous,"a. 胆怯的, 胆小的, 羞怯的"
tremulous,"a. 发抖的, 战栗的, 胆小的
"
frailty,"n. 弱点, 脆弱, 意志薄弱
"
cowardice,n. 懦弱
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
baleful,"a. 有害的, 恶意的"
diabolic,"a. 恶魔的, 恶毒的, 凶暴的, 恶魔似的, (非正式)非常可憎的"
diabolical,a. 恶魔的
execrable,"a. 该咒的, 可憎恨的, 讨厌的"
heinous,"a. 可憎的, 令人发指的"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
iniquitous,"a. 不公正的, 邪恶的"
iniquity,"n. 不公正, 不公正行为"
malevolent,"a. 有恶意的, 坏心肠的"
malice,"n. 恶意, 蓄意害人, 怨恨
"
malicious,"a. 怀恶意的, 恶毒的"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
malignant,"a. 有恶意的, 恶性的, 有害的
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
shoddy,"a. 用长弹毛做的, 以次充好的
n. 长弹毛, 软再生毛, 赝品"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
treachery,"n. 背叛, 变节
"
turpitude,"n. 卑鄙行为, 卑鄙
"
villainous,"a. 坏人似的, 恶棍的, 罪恶的, 极坏的
"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
villain,"n. 坏人, 恶棍
"
voyeur,n. 偷看下流场面的人
vise,"n. 虎钳
vt. 钳住"
maleficent,"a. 有害的, 做坏事的, 犯罪的"
enormity,"n. 暴行, 极恶, 巨大
"
bacchanal,"a. 酒神的, 酒神节的, 狂饮作乐的
n. 酒神崇拜者, 狂饮作乐"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
unbridled,"a. 无缰辔的, 不受控制的, 无拘束的"
wanton,"n. 荡妇, 水性杨花的女人
a. 恶意的, 不负责任的, 无节制的, 嬉戏的, 繁茂的, 淫荡的
vi. 变化无常, 嬉戏, 闲荡, 放肆
vt. 挥霍"
orgy,"n. 无节制, 狂欢, 纵酒宴乐, 放荡"
indulgent,"a. 纵容的, 任性的, 宽容的"
intemperate,"a. 不节制的, 不温和的, 饮酒过度的"
roué,无
presumptuous,"a. 放肆的, 冒昧的, 傲慢的"
bawdy,"a. 淫秽的, 言语猥亵的"
libido,"n. 性的冲动, 性欲"
licentious,"a. 放肆的
"
lust,"n. 贪欲, 欲望, 色欲
vi. 贪求, 渴望, 动淫念"
rakish,"a. 轻快的, 潇洒的, 放荡的"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
sybaritic,"a. 奢侈享乐的, 耽于奢侈逸乐的, 骄奢淫逸的"
voluptuous,"a. 骄奢淫逸的, 贪图酒色的, 妖娆的, 肉欲的, 激起情欲的, 色情的"
erotic,"a. 性爱的, 性欲的, 色情的
n. 好色之徒, 色情诗"
carnal,"a. 肉体的, 肉欲的
"
artifice,"n. 诡计, 技巧, 巧妙"
chicanery,"n. 强词夺理, 狡辩, 欺骗"
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
diplomatic,"a. 外交的, 老练的
"
duplicitous,a. 奸诈的；双重的；搞两面派的
duplicity,"n. 口是心非, 不诚实, 表里不一
"
enmesh,"vt. 使绊住, 使陷入"
ensnare,"vt. 以陷阱捕捉, 诱入圈套, 诱捕"
finesse,"n. 策略, 手段, (桥牌中的)飞牌
v. 用计谋处理, 出小牌"
glib,"a. 能说善道的, 流畅的"
guile,"n. 狡猾, 狡计"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
ploy,"n. 手段, 活动, 玩乐"
ruse,"n. 计策, 谋略, 诡计
"
shiftiness, 奸诈
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
subterfuge,"n. 遁辞, 借口, 托辞
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
trickery,"n. 欺骗, 欺诈, 诡计
"
vulpine,"a. 狐狸的, 狐狸似的, 诡计多端的"
wile,"n. 诡计, 狡猾
vt. 引诱, 诱骗, 消遣"
wily,"a. 使用计谋的, 有诡计的, 狡猾的"
artful,"a. 巧妙的, 狡猾的"
politic,"a. 精明的, 明智的, 策略的"
machiavellian,"a. 马基雅弗利的, 狡猾的
n. 权谋政治家"
acerbic,"a. 酸的, 尖刻的"
acerbity,"n. 涩, 酸, 尖刻
"
acrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的
"
acrimonious,"a. 尖刻的, 讥讽的, 激烈的"
acrimony,"n. 严厉, 尖刻
"
exacting,"a. 苛求的, 吃力的"
finicky,"a. 过分注意的, 过分周到的, 过分讲究的"
nipping,"a. 刺骨的, 刺人肌肤的, 讥刺的"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
scathing,"a. 伤害的, 损伤的, 严厉的"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
vinegared," 酸的, 尖刻的；醋腌的"
vitriolic,"a. 硫酸的, 像硫酸的, 语言刻薄的"
acidulous,"a. 带酸味的, 尖刻的, 带讽刺意味的
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
indolent,"a. 懒惰的, 无痛的
"
indolence,"n. 怠惰, 无痛
"
integrating,v. 整合；积分；集成化（integrate的ing形式）
inertia,"n. 惯性, 惰性, 迟钝
"
loll,"vi. 懒散地闲荡, 垂下头, 伸舌
vt. 垂, 伸, 靠着"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
sloth,"n. 怠惰, 懒惰"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
supine,"a. 仰卧的, 掌心向上的, 懒散的
"
torpid,"a. 麻痹的, 迟缓的, 迟钝的, 蛰伏的
"
torpor,"n. 麻木, 无感觉, 迟钝
"
slovenly,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
begrudge,"vt. 嫉妒, 羡慕, 勉强允给, 吝惜"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
miserly,"a. 吝啬的, 贪婪的"
parsimony,"n. 过度节俭, 吝啬, 惜墨如金"
penury,"n. 贫困, 贫穷, 拮据, 馈乏
"
stinginess,n. 吝啬
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
tightfisted,a. 吝啬的
tightwad,n. 吝啬鬼
skimpy,"a. 不足的, 吝啬的"
parsimony,"n. 过度节俭, 吝啬, 惜墨如金"
parsimonious,"a. 过度节俭的, 吝啬小气的"
clannish,"a. 氏族的, 宗族的, 团结心很强的"
clique,"n. 派系, 集团
vi. 结党
"
coterie,"n. 同人, 圈内人, 小集团"
cronyism,n. 任人唯亲
devious,"a. 偏僻的, 迂回的"
faction,"n. 小派系, 内讧
"
hidebound,"a. 思想偏狭顽固的, 死板的, 量小的
"
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
inequity,"n. 不公平, 不公正"
jaundice,"n. 黄疸, 偏见, 乖僻
vt. 使患黄疸, 使怀偏见"
jaundiced,"a. 患黄疸病的, 有偏见的, 嫉妒的"
lopsided,"a. 倾向一方的, 不平衡的"
nepotism,"n. 偏袒亲属, 起用亲戚"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
partiality,"n. 偏心, 偏颇, 不公平, 特别喜欢, 癖好
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
tendentious,"a. 有偏见的, 有倾向的, 淘气的"
unjustly,"adv. 不义地, 不法地"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
bigotry,"n. 盲从, 偏见, 偏执的行为(或态度)"
factious,"a. 好搞派系的, 好结党营私的"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
discrimination,"n. 差别, 岐视, 辨别力
"
cramped,"a. 狭窄的, 难懂的, 难辨的"
banal,"a. 平凡的, 陈腐的"
bathetic,"a. 陈腐的, 突降的"
decadence,n. 颓废
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
mediocrity,"n. 平常, 平庸之才"
platitude,"n. 单调, 平凡, 陈腐, 陈词滥调"
trite,"a. 老一套的, 陈腐的, 用坏的"
nondescript,"a. 莫可名状的, 难以区别的
n. 难以名状的事物, 不属任何类型的人"
acquisitive,"a. 渴望获得的, 贪婪的
"
avarice,n. 贪婪
avaricious,a. 贪婪的
covet,"v. 妄想, 垂涎"
cupidity,"n. 贪心, 贪婪"
grasping,"a. 抓的, 握的, 贪婪的"
ravenous,"a. 贪婪的, 饿极的, 狼吞虎咽的"
venal,"a. 可收买的, 贪污的, 用金钱买得的
"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
voracity,"n. 贪食, 贪婪"
glutton,"n. 暴食者, 酷爱...的人"
covetous,"a. 贪婪的, 妄想的"
captious,"a. 吹毛求疵的, 挑剔的"
cavil,"n. 无端的指责, 挑剔
v. 吹毛求疵"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
nitpick,vi. 挑剔；吹毛求疵
persnickety,"a. 爱挑剔的, 吹毛求疵的, 精细的"
censorious,"a. 爱批判的, 挑剔的"
carping,"a. 吹毛求疵的, 挑毛病的"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
closed-minded,"a. 思想保守的, 不易接受新鲜事物的, 有成见的"
contumacious,"a. 不听命令的, 反抗权威的, 反抗法院命令的
"
dogged,"a. 顽固的, 顽强的"
incorrigible,"a. 无药可救的, 积习难改的
n. 不可救药的人"
intractable,"a. 不听话的, 倔强的, 棘手的
"
intransigent,"a. 非妥协性的
n. 不妥协的人"
mulish,"a. 似骡的, 执拗的, 顽固的"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
obstinacy,"n. 倔强, 顽固, 固执行为, (疼痛等)难治"
obstinate,"a. 倔强的, 顽固的, 不让步的"
opinionated,"a. 固执己见的, 武断的"
pertinacious,"a. 坚持不放的, 执拗的, 顽固的, 顽强的, (疾病)难以治好的"
restiveness,n. 难以驾御；倔强
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
bigoted,"a. 盲从的, 固执己见的, 执迷的, 顽固的"
hard-nosed,"顽固的,理性实际的"
wrongheaded,"a. 判断错误的, 顽固的, 固执的, 坚持错误的"
headfirst,adv. 头在前
obduracy,"n. 顽固, 执拗, 冷酷"
far-fetched,"adj. 强词夺理的
"
illusion,"n. 幻影, 错觉, 幻想
"
knead,"vt. 揉, 按摩, 捏
"
misinform,vt. 提供错误消息
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
affected,"a. 假装的, 做作的, 受影响的"
belie,"vt. 掩饰, 与...不符, 使失望"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
bravado,n. 虚张声势
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
contrived,"a. 人造的, 勉强的, 不自然的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
dissimulation,"n. 掩饰, 装糊涂, 虚伪
"
extenuate,"vt. 减轻, 为...找借口
"
feign,"vt. 假装, 装作
vi. 作假"
feigned,"a. 假的, 做作的, 捏造的
"
figment,n. 虚构的事
gild,"vt. 镀金, 虚饰, 装饰, 供给钱"
hypocritical,"a. 伪善的, 伪善者的"
insincerity,"n. 不诚实, 无诚意, 伪善
"
mannered,"a. 守规矩的, 矫饰的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
pharisaic,法利赛人的
pretence,"n. 假装, 虚伪, 借口, 自称, 要求
"
pretend,"v. 假装, 伪称, 自命, 自称"
sanctimonious,"a. 假装圣洁的, 假装虔诚的, 假装诚实的"
stagy,"a. 戏剧的, 戏一般的, 夸大的, 做作的"
affectation,"n. 假装, 做作, 矫情
"
gloss over,掩盖
sorcery,"n. 巫术, 魔术
"
denture,"n. 一副假牙, 一副牙齿, 齿列
"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
agreeable,"a. 令人愉快的, 同意的
"
amenity,"n. 便利设施, 适意, 礼仪
"
amuse,"vt. 消遣, 娱乐, 使发笑"
beatific,"a. 至福的, 赐福的, 极乐的"
bliss,"n. 福佑, 天赐的福
"
blissful,a. 充满喜悦的
blithe,"a. 愉快的, 高兴的"
bracing,"a. 新鲜的, 凉爽的, 爽快的, 振奋精神的
n. 联条, 支撑物, 支柱, 背带"
caper,"n. 跳跃
vi. 雀跃, 蹦跳"
carouse,"n. 喧闹的酒会或宴会
vi. 痛饮, 畅饮"
cavort,vi. 腾跃
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
conviviality,"n. 欢宴, 欢乐, 高兴"
dally,"vi. 戏耍, 玩弄, 闲混
vt. 浪费"
delectable,"a. 令人快乐的, 美味的, 使人愉快的"
disport,"v. 玩耍, 娱乐
n. 娱乐"
ebullience,"n. 沸腾, 热情, 热情洋溢
"
ecstasy,"n. 狂喜, 心醉神迷, 忘形
"
ecstatic,"n. 狂喜的人
a. 狂喜的"
elated,a. 兴高采烈的
enrapture,vt. 使狂喜
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
exaltation,"n. 提升, 提高, 得意洋洋
"
excitability,"n. 易兴奋性, 兴奋性, 激动性
"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
exhilaration,"n. 令人高兴, 愉快"
exuberance,"n. 茂盛, 茂盛的生长物, 丰富"
exult,"vi. 非常高兴, 欢欣"
exultant,"a. 非常高兴的, 欢欣的"
felicitate,"vt. 庆祝, 庆贺"
festal,"a. 节日的, 祭日的, 欢乐的"
festive,"a. 庆祝的, 喜庆的, 欢乐的"
fete,"n. 庆祝, 祭祀, 节日
vt. 宴请, 招待"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
frisk,"n. 乱跳, 欢闹, 活跃
vi. 欢跃, 蹦跳
vt. 轻摇"
frisky,"a. 乱跳的, 欢闹的"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
frolicsome,"a. 嬉戏的, 爱闹着玩的"
gaiety,"n. 愉快, 快活, 高兴"
gambol,"n. 跳跃, 雀跃, 嬉戏
vi. 跳跃, 雀跃, 耍闹"
genial,"a. 和蔼的, 亲切的, 友善的
"
glee,"n. 欢乐, 高兴"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
gratify,vt. 使满足
hedonic,"a. 快乐的, 快乐论的
n. 快乐论"
hilarious,"a. 喜不自禁的, 欢闹的, 引人发笑的"
intoxicate,"vt. 使陶醉, 使喝醉"
jaunty,"a. 快活的, 活泼的, 轻快的"
jocund,"a. 欢乐的, 高兴的"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
jovial,"a. 快活的, 高兴的, 愉快的
"
jubilant,"a. 欢呼的, 喜洋洋的"
jubilation,"n. 欢呼, 喜欢, 庆祝"
lark,"n. 云雀, 百灵鸟, 欢乐, 嬉耍
vi. 嬉耍, 骑马玩乐
vt. 愚弄"
mirth,"n. 欢笑, 欢乐, 愉快"
optimism,"n. 乐观主义, 乐观, 乐天
"
piquant,"a. 辛辣的, 开胃的, 刺激的, 活泼的, 调皮的, 淘气的, 可爱的"
revelry,"n. 闹饮, 狂欢"
rosy,"a. 蔷薇色的, 玫瑰红色的"
sanguine,"a. 血红色的, 满怀希望的, 乐观的
n. 血红色, 红粉笔
vt. 用血沾污, 血染"
sprightly,"a. 活泼的, 愉快的
adv. 活泼地, 愉快地"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
