the,art. 那
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
gentleman,"n. 绅士, 先生"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
inner,"a. 内部的, 内心的
n. 内部"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
rather,"adv. 宁可, 稍微, 相当"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
salary,"n. 薪水
vt. 给...加薪"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
observer,"n. 观察者, 遵守者, 观察员
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
publication,"n. 出版物, 出版, 公布
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
convention,"n. 大会, 协定, 惯例, 约定
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
exhibition,"n. 表现, 展览会, 展览品
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
consultant,"n. 顾问, 征询意见者
"
soon,"adv. 不久, 早, 快, 宁可"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
administrator,"n. 管理人, 行政官
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
occasionally,"adv. 有时候, 偶而"
mayor,"n. 市长
"
consideration,"n. 考虑, 原因
"
CEO,[网络] 首席执行官；鹰牌控股执行总裁；执行长
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
historic,"a. 历史上著名的, 有历史性的"
poem,"n. 诗, 诗般美的事物"
grandmother,"n. 祖母, 女祖先"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
fifth,"num. 第五, 五分之一"
constantly,"adv. 不变地, 不断地, 时常地"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
testing,"n. 测试
a. 吃力的, 试验的"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
install,"vt. 安装, 安置, 使就职
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
suggestion,"n. 提议, 意见
"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
recipe,"n. 食谱, 处方, 秘诀
"
reasonable,"a. 合理的, 明理的, 适当的
"
preparation,"n. 准备, 预备, 预习
"
wooden,"a. 木制的, 呆笨的, 木然的"
elementary,"a. 初步的, 基本的
"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
intention,"n. 意图, 目的, 含义
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
drawing,"n. 图画, 制图, 拉
"
protein,"n. 蛋白质
a. 蛋白质的"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
absence,"n. 缺席, 缺乏, 没有
"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
diversity,"n. 差异, 多样性
"
honest,"a. 诚实的, 坦直的, 可靠的"
Palestinian,[经] 巴勒斯坦的
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
employment,"n. 雇用, 职业, 工作
"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
historian,"n. 历史学家, 记事者"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
origin,"n. 起源, 起因, 出身, 开端
"
approval,"n. 赞成, 批准
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
quietly,"adv. 安静地, 沉着地, 秘密地"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
conventional,"a. 传统的, 习惯的, 约定的
"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
depth,"n. 深度, 深处, 深奥
"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
disability,"n. 无力, 无能, 残疾
"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
criticize,"v. 批评, 吹毛求疵, 非难"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
professional,"n. 专业人才
a. 专业的, 职业的"
effectively,"adv. 有效地, 有力地, 实际上"
biological,"a. 生物学的
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
deputy,n. 副手，代理人
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
criteria,"pl. 标准
"
dealer,"n. 经销商, 商人
"
via,"prep. 经由, 经过, 通过
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
arise,"vi. 站立, 出现, 起来"
armed,"a. 有扶手的, 武装的, 有防卫器官的
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
highway,"n. 公路, 大道, 捷径
"
clinical,"a. 临床的, 门诊部的
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
normally,"adv. 正规地, 合规则, 正常地"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
ingredient,"n. 成分, 因素
"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
fiber,"n. 纤维, 构造, 纤维制品
"
activist,n. 激进主义分子
Islamic,"a. 伊斯兰教的, 穆斯林的"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
terrorism,"n. 恐怖主义, 恐怖统治, 恐怖状态
"
refugee,"n. 难民, 流亡者
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
corporation,"n. 公司, 合作, 法人团体
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
assumption,"n. 假定, 自负, 担任, 假装
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
barrier,"n. 障碍, 栅栏
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
killer,"n. (非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器
"
assign,"vt. 分配, 指派, 赋值
"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
developing,"a. 发展中的
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
teen,"n. 愤怒, 悲哀"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
vacation,"n. 假期, 休假
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
heaven,"n. 天堂, 上帝, 天空"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
distant,"a. 远的, 疏远的
"
drama,"n. 戏剧, 戏剧艺术"
satellite,"n. 人造卫星
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
chocolate,"n. 巧克力
a. 巧克力制的"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Canadian,a. 加拿大的
ceiling,"n. 天花板
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
advertising,"n. 广告业, 广告
a. 广告的
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
bell,"n. 铃, 钟
"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
clothing,n. 衣服
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
lawsuit,"n. 诉讼
"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
testimony,"n. 证言, 证据, 声明
"
bunch,"n. 串, 束
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
react,"vi. 起反应, 起作用, 反攻
"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
furniture,"n. 家具, 帆具"
cooperation,"n. 合作, 协力, 配合
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
ceremony,"n. 典礼, 仪式, 礼节
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
cheek,"n. 颊, 厚颜, 脸蛋
"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
disagree,"vi. 不一致, 不适宜
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
destruction,"n. 破坏, 毁灭
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
unlikely,a. 不太可能的
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
constitutional,"a. 宪法的, 立宪的, 体质的
"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
stranger,"n. 陌生人, 门外汉
"
infection,"n. 传染, 影响, 传染病
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
apple,"n. 苹果, 家伙
"
electric,"a. 电的, 导电的, 电动的
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
bet,"n. 打赌, 赌注
v. 打赌"
literary,"a. 文学的, 文艺的, 精通文学的
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
stupid,"a. 愚蠢的, 麻木的"
dispute,"n. 争论
v. 争论"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
strategic,"a. 战略的, 战略上的
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
remarkable,"a. 不平常的, 值得注意的, 显著的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
statistics,"n. 统计学, 统计资料
"
shopping,"n. 买东西, 购物
"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
initially,"adv. 最初, 开头"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
adviser,"n. 顾问, 劝告者, 指导教师
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
spokesman,"n. 发言人, 代言者"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
latter,"a. 后者的, 较后的, 近来的"
incentive,"n. 动机
a. 激励的"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
accurate,"a. 正确的, 精确的
"
whereas,"conj. 然而, 鉴于
"
terror,"n. 恐怖, 可怕的人
"
