criticize,"v. 批评, 吹毛求疵, 非难"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
occurrence,"n. 发生, 事件, 出现
"
dishonest,"a. 不诚实的
"
electronic,"a. 电子的
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
gene,"n. 基因
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
response,"n. 反应, 回答, 响应
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
garment,"n. 衣服, 衣装, 外表"
output,"n. 输出, 产品, 产量
"
booming,"a. 急速发展的
"
employee,"n. 职员, 员工, 受雇人员
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
competence,"n. 胜任, 职称, 能力
"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
mixed,"a. 混合的, 形形色色的, 弄糊涂的
"
appear,"vi. 出现, 显得, 来到
"
therapy,"n. 治疗
"
pioneering,a. 首创的；先驱的
corporation,"n. 公司, 合作, 法人团体
"
seriously,"adv. 严肃地, 认真地, 严重地"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
gigantic,"a. 巨人般的, 巨大的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
foresee,"vt. 预见, 预知"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
intuitive,a. 直觉的
suspicion,"n. 怀疑, 觉察, 嫌疑
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
polished,"a. 擦亮的, 优雅的, 精良的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
currency,"n. 货币, 通货, 流通, 通用
"
devaluation,"n. 降低价值, 贬值
"
overreact,"vi. 反应过度, 反作用过强"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
option,"n. 选择权, 挑选, 选项
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
wastage,"n. 浪费, 浪费量, 废物
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
overwhelming,"a. 压倒性的, 无法抵抗的"
symptom,"n. 症状, 征候, 征兆
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
decade,"n. 十年, 十"
apparently,"adv. 表面上, 清楚地, 显然地"
role,"n. 角色, 职责, 任务
"
compensation,"n. 补偿, 赔偿金, 工资
"
committee,"n. 委员会
"
enormous,"a. 巨大的, 庞大的"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
restrict,"vt. 限制, 限定, 约束
"
advertising,"n. 广告业, 广告
a. 广告的
"
sponsorship,"n. 发起, 倡议, 主办, 保证人的地位, 教父的地位, 教母的地位"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
comparable,"a. 可比较的, 比得上的"
blunt,"a. 钝的, 坦率的, 麻痹的"
benign,"a. 善良的, 良性的
"
internal,"a. 内在的, 国内的
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
admission,"n. 准许进入, 入场费, 录用, 承认
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
previous,"a. 早先的, 前面的, 过急的
"
leadership,"n. 领导能力, 领导阶层"
muscle,"n. 肌肉, 臂力
"
ensure,"vt. 确定, 保证, 担保, 保护
"
show off,"炫耀, 卖弄, 使显眼"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
consultant,"n. 顾问, 征询意见者
"
architecture,"n. 建筑学, 建筑式样
"
whirlwind,n. 旋风
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
savagely,adv. 野蛮地；残忍地
cut off,"na. 削除；截止；截断(退路等)；割下来
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
resemble,"vt. 相似, 类似"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
remarkably,"adv. 显著地, 引人注目地, 非常地"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
overreaction,[经] 反应过度
react,"vi. 起反应, 起作用, 反攻
"
hard-wired,硬连接
silver lining,n. （不幸或失望中的）一线希望
unemployment,"n. 失业, 失业人数
"
materialistic,"a. 唯物论的, 唯物主义的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
decide,"v. 决定, 判决"
trainer,"n. 训练员, 驯马师
"
separation,"n. 分离, 分居, 缺口, 退职
"
formation,"n. 形成, 构造, 编队
"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
operational,"a. 操作的, 运作的
"
patriotic,"a. 爱国的, 有爱国心的
"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
segregationist,n. 种族隔离主义者
legislation,"n. 立法, 法律
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
convenience,"n. 方便, 便利的事物, 方便的时候"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
largely,"adv. 大量地, 很多地, 大半地"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
consequence,"n. 结果, 重要性
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
manager,"n. 经理, 管理员, 管理器
"
savings,"n. 储蓄, 存款
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
incredible,a. 难以置信的
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
effectiveness,"n. 效力
"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
anecdote,"n. 轶事, 奇闻"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
county,"n. 县, 郡"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
union,"n. 联盟, 联合, 结合, 工会
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
consumer,"n. 消费者
"
administration,"n. 行政, 管理, 政府机关
"
amount,"n. 总数, 总额
vi. 总计, 等同"
foremost,"a. 最初的, 最重要的
adv. 在最前"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
avert,"vt. 转开, 避免, 防止"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
technique,"n. 技巧, 技术, 方法
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
predominant,"a. 占主导地位的, 卓越的
"
sickness,"n. 疾病, 不健康, 呕吐
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
intentional,"a. 故意的, 与目的有关的
"
racial,"a. 人种的, 种族的
"
discrimination,"n. 差别, 岐视, 辨别力
"
elite,"n. 精华, 精锐, 中坚分子"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
occasionally,"adv. 有时候, 偶而"
favorable,"a. 有利的, 赞许的, 良好的"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
ecosystem,"n. 生态系统
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
outcome,"n. 结果, 出口"
legally,"adv. 法律上, 合法地
"
stroller,"n. 散步者, 流浪者"
unwittingly,adv. 不知情地；不知不觉地；不经意地
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
escapism,"n. 逃避现实, 逃避主义"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
evoke,"vt. 唤起, 引起, 召(魂)
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
