able,"a. 能干的, 能够的"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
amplification,"n. 扩大, 放大
"
loudspeaker,"n. 扩音器, 喇叭
"
microphone,"n. 扩音器, 麦克风
"
anniversary,n. 周年纪念
monument,"n. 纪念碑, 纪念物, 石碑"
ant,n. 蚂蚁
spider,"n. 蜘蛛, 设圈套者
"
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
deer,n. 鹿
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
mosquito,"n. 蚊子
"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
dove,"n. 鸽子
dive的过去式"
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
eagle,"n. 鹰, 鹰状标饰"
owl,"n. 猫头鹰
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
camel,"n. 骆驼, 打捞浮筒"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
dragon,"n. 龙, 凶暴的人
"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
parasite,"n. 寄生生物, 寄生虫, 食客
"
poultry,n. 家禽
antenna,"n. 天线, 触须, 触角
"
appal,"vt. 使惊骇, 使吓坏"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
exclaim,"v. 大叫, 呼喊, 大声叫"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
apparatus,"n. 装置, 器具, 器官
"
install,"vt. 安装, 安置, 使就职
"
appraise,"vt. 评价, 估价
"
undervalue,"vt. 低估...之价值, 低估, 看轻
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
dictator,"n. 命令者, 独裁者"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
architect,"n. 建筑师, 设计者, 缔造者"
arrow,"n. 箭, 箭状物, 箭头记号"
artery,"n. 动脉, 干道, 要道
"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
articulately,adv. 口齿清楚地; 发音清晰地
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
asocial,"a. 不合群的, 不关心他人的, 自私的
"
intercourse,"n. 交往, 交流
"
ashamed,"a. 惭愧的, 羞耻的"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
ashore,"adv. 向岸, 在岸上"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
assassinate,"vt. 暗杀, 行刺
"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
homicide,"n. 杀人, 杀人者
"
corpse,"n. 尸体
"
cemetery,"n. 墓地, 公墓
"
funeral,"n. 葬礼, 出殡"
astronaut,"n. 太空旅行者, 宇航员
"
astrophysicist,n. 天体物理学家
aviation,"n. 航空, 航空学, 飞行术
"
navigation,"n. 航行, 航海, 导航
"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
auction,"n. 拍卖
vt. 拍卖"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
grocer,n. 食品商
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
audible,"a. 听得见的
"
auditorium,"n. 听众席, 礼堂
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
tactual,"a. 触觉的, 凭触觉的
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
deaf,"a. 聋的
"
automate,"vt.vi. (使)自动化
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
autonomous,"a. 自治的
"
semiconductor,"n. 半导体
"
semimonthly,"a. 每半个月一次的
adv. 每半月一次, 每月二次
n. 半月刊"
avert,"vt. 转开, 避免, 防止"
beware,"v. 小心, 谨防"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
awe,"n. 敬畏
vt. 使敬畏"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
bacon,"n. 熏猪肉
"
mutton,n. 羊肉
steak,"n. 牛排, 鱼排, 肉排"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
edible,"n. 食品, 食物
a. 可食用的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
bacterium,"n. 细菌
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
badge,"n. 徽章, 标记
"
badminton,n. 羽毛球运动
baseball,"n. 棒球
"
bowling,n. 保龄球戏
golf,"n. 高尔夫球
vi. 打高尔夫球"
volleyball,n. 排球
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
baggage,"n. 行李
"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
bandage,"n. 绷带
"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
banner,"n. 旗帜
a. 显著的, 特别好的"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
barren,"a. 不育的, 贫瘠的
n. 荒地"
desolate,a. 荒凉的
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
basement,"n. 地下室, 墙脚
"
cellar,"n. 地窖, 地下室, 藏酒"
balcony,"n. 阳台, 戏院楼厅"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
battery,"n. 电池, 殴打
"
generator,"n. 产生器, 发电机, 生产者
"
hydroelectric,"a. 水力电气的
"
electrical,"a. 电的, 有关电的
"
electron,"n. 电子
"
elevator,"n. 电梯, 升降机
"
torch,"n. 火把, 启发之物
"
voltage,"n. 电压, 伏特数
"
volt,"n. 伏特
"
watt,"n. 瓦(特)
"
bean,"n. 豆子
"
pea,"n. 豌豆, 似豌豆的东西"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
salad,n. 色拉
cabbage,"n. 卷心菜
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
garlic,"n. 大蒜
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
sausage,"n. 香肠, 腊肠"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
strawberry,n. 草莓
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
dessert,n. 餐后甜点
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
flour,"n. 面粉, 粉沫, 碎粉
"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
orchard,"n. 果园, 果树林"
beast,"n. 畜生, 动物, 野兽, 兽性"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
courtesy,"n. 礼貌, 谦恭, 好意
"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
beforehand,adv. 预先
prejudge,"vt. 预先判断, 对...预先作出判决"
prophet,"n. 预言者, 先知, 提倡者"
presentiment,n. 预感
foretell,"vt. 预言, 预告, 预示"
prospective,"a. 预期的, 将来的
"
beloved,"a. 心爱的
n. 心爱的人"
lover,"n. 爱人, 爱好者"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
honorary,"a. 荣誉的, 无报酬的, 道义上的
"
beverage,"n. 饮料
"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
soda,"n. 苏打, 碳酸水
"
brandy,"n. 白兰地酒
"
whisky,"n. 威士忌酒, 轻便马车
"
champagne,"n. 香槟酒, 香槟酒色
"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
drunk,"a. 喝醉了的
drink的过去式"
cigar,n. 雪茄
cigaret,"n. 纸烟, 卷烟, 香烟"
cigarette,"n. 香烟, 纸烟"
bin,"n. (贮存谷物等的)容器, 箱子
"
locker,"n. 抽屉, 小柜, 上锁人
"
container,"n. 容器, 集装箱
"
cupboard,"n. 食橱, 碗柜, 餐具柜"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
biweekly,"n. 双周刊
a. 两周一次的, 每周二次的
adv. 每两周一次地, 每周二次地"
fortnight,n. 两星期
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
blackmail,"n. 勒索
vt. 勒索"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
razor,"n. 剃刀
vt. 剃"
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
scissors,"pl. 剪刀
"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
ax,"n. 斧头
vt. 用斧削或砍, 削减"
axe,"n. 斧, 斧头
vt. 削减(人员、经费、计划、机构等)"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
bulletproof,a. 防弹的
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
cannon,"n. 大炮, 加农炮
v. 炮轰"
ignite,"vt. 点燃, 使灼热, 使兴奋"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
bloody,"a. 血腥的, 嗜杀的, 有血的"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
vase,"n. 花瓶, 瓶"
wreath,"n. 花圈, 花环, 圈状物
"
blouse,n. 宽松的上衣
robe,"n. 宽松长袍, 礼服, 披肩, 覆盖物
v. (给)穿长袍"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
trousers,"pl. 裤子, 长裤"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
stocking,"n. 长袜
"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
costume,"n. 装束, 服装"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
broom,"n. 扫帚, 金雀花
vt. 扫除"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
doorway,"n. 门口, 途径"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
junction,"n. 连接, 会合处, 交叉点
"
juncture,"n. 接合, 连接, 接缝"
mingle,v. (使)混合
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
subdivide,"vt.vi. (把...)再分, (把...)细分
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
kneel,vi. 跪下
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
infringe,"v. 破坏, 侵犯, 违反"
submissive,"a. 服从的, 顺从的"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
nonconformist,"n. 不相信英国国教的人, 不符合通常准则的人, 不落俗套的人
a. 违反准则的, 不落俗套的, 违反规范的"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
snowstorm,"n. 暴风雪
"
typhoon,n. 台风
hurricane,"n. 飓风, 暴风, 暴风雨"
earthquake,n. 地震
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
briefcase,n. 公事包
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
sturdy,"a. 强健的, 健全的
"
brook,"n. 小溪
vt. 容忍"
pond,"n. 池塘
v. 筑成池塘"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
inlet,"n. 进口, 插入物
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
impair,"vt. 损害, 减少, 削弱
"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
cafeteria,"n. 自助餐厅
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
napkin,"n. 餐巾, 餐巾纸, 尿布"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
intimidate,"vt. 威胁, 恐吓
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
burglar,"n. 窃贼
"
traitor,"n. 叛逆者, 叛国者
"
treason,"n. 叛逆, 不忠, 叛国罪
"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
trolly,"n. 手推车, 货车"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
wagon,"n. 四轮马车, 货车
"
waggon,"n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
carriage,"n. 马车, 客车, 举止, 运输
"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
lorry,"n. 卡车, 货车
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
ferry,"n. 渡船, 渡口
"
steamer,"n. 汽船, 蒸汽机
"
tanker,"n. 坦克手, 油船, 空中加油飞机, 运油飞机, 油槽/水槽汽车
"
liner,"n. 班机, 划线者, 定期船, 衬里
"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
spaceship,n. 宇宙飞船
cosmology,"n. 宇宙哲学, 宇宙论
"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
detrain,v. (使)下火车
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
canvas,"n. 帆布, 画布, 油画
"
panorama,"n. 全景, 全貌, 概论, 范围"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
poster,"n. 海报, 招贴, 驿马"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
chemist,"n. 化学家, 药剂师
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cargo,"n. 货物
"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
carpenter,n. 木匠
cashier,"n. 出纳员
"
fireman,"n. 救火队员, 消防队员
"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
typist,n. 打字员
demographer,n. 人口统计学家
colonel,"n. 陆军上校, 长官"
chef,n. 厨师
recipe,"n. 食谱, 处方, 秘诀
"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
induct,"vt. 引导, 使入门, 引入, 使就职"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
catastrophe,"n. 大灾难, 大祸
"
disastrous,"a. 损失惨重的, 悲伤的"
refugee,"n. 难民, 流亡者
"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
cathedral,n. 大教堂
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
pope,"n. 罗马教皇, 主教"
clergy,"n. 牧师, 僧侣, 神职人员"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
saint,"n. 圣徒, 圣人
a. 神圣的
"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
centigrade,"a. 百分度的, 摄氏的
"
thermometer,"n. 温度计, 体温计
"
certainty,"n. 确定, 确实的事情
"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
lad,"n. 青年, 家伙, 少年, 情人"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
