accustom,vt. 使习惯于
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
annals,"n. 编年史, 活动年报, 历史"
antiquity,"n. 古老, 古代, 古代人, 古物"
archaeologist,n. 考古学家
archaeology,n. 考古学
bandit,n. 强盗
battlefield,"n. 战场, 沙场"
beacon,"n. 烽火, 灯塔
v. 照亮"
bloody,"a. 血腥的, 嗜杀的, 有血的"
bondage,"n. 奴役, 束缚
"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
bronze,"n. 青铜, 铜像
a. 青铜色的"
cannon,"n. 大炮, 加农炮
v. 炮轰"
cavalry,n. 骑兵
chariot,n. 二轮战车
colonial,"a. 殖民的, 殖民地的
"
conquest,"n. 战胜, 征服, 战利品
"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
cornerstone,"n. 奠基石, 基础"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
dagger,"n. 匕首
vt. 用剑刺"
decade,"n. 十年, 十"
defence,"n. 防卫, 防卫设备
"
defense,"n. 防卫, 防卫物
"
despot,"n. 专制君主, 暴君
"
duel,"n. 决斗, 斗争
vi. 决斗"
dynasty,"n. 朝代, 王朝"
epoch,"n. 新纪元, 时代, 时期"
epoch-making,"adj. 开新纪元的
"
era,"n. 时代, 纪元, 时期"
erase,"vt. 抹去, 擦掉
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
evolutionist,n. 进化论者
expanse,"n. 宽阔区域, 宽阔, 天空"
expansion,"n. 扩充, 开展, 膨胀
"
famine,"n. 饥荒, 缺乏, 饥饿"
far-reaching,adj. 影响深远的; 有广泛影响的
fatalism,n. 宿命论
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
gunpowder,"n. 火药
"
historic,"a. 历史上著名的, 有历史性的"
historical,"a. 历史的, 史实的, 历史上的
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialism,"n. 帝国主义, 帝制
"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
landowner,"n. 地主
"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
medieval,"a. 中古的, 中世纪的"
millennium,"n. 千禧年, 一千年"
monarch,"n. 帝王, 统治者, 元首
"
monument,"n. 纪念碑, 纪念物, 石碑"
nobility,"n. 贵族, 高尚, 贵族阶级"
persian,"n. 波斯人, 波斯语"
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
prehistoric,"a. 历史以前的, 史前的"
prehistorically,adv. 史前地
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
princess,"n. 公主, 王妃, 女巨头"
puppet,"n. 傀儡, 木偶
"
realm,"n. 王国, 领土, 领域
"
rebirth,"n. 再生, 复活, 新生"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
reconstruct,"vt. 重建, 改造
"
redevelopment,n. 再开发；重点恢复
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
renovation,"n. 革新, 刷新, 修理
"
representation,"n. 表示法, 表现, 陈述, 代表
"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
restoration,"n. 恢复, 归还, 复位
"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
revivify,"v. (使)再生, (使)复活, (使)振奋精神"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
showdown,"n. 摊牌, 暴露, 紧要关头"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
solidarity,"n. 团结, 团结一致, 共同一致
"
solitude,"n. 孤独, 单独, 孤寂"
strife,"n. 争吵, 竞争, 冲突"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tactical,"a. 战术的, 用兵上的, 策略的"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
entrenched,"a. 牢固的, 根深蒂固的"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
unrest,"n. 不安的状态, 动荡的局面
"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
victorious,"a. 胜利的, 得胜的, 战胜的"
victory,"n. 胜利, 战胜, 克服"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
arid,"a. 干燥的, 不毛的"
atmosphere,"n. 大气, 空气, 气氛
"
atmospheric,"a. 大气的
"
awaken,"vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
brink,"n. 边缘, 陡岸"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
catastrophe,"n. 大灾难, 大祸
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
circumstance,"n. 环境, 状况, 事件"
climate,"n. 气候, 社会趋势, 气候区
"
climatic,a. 气候的
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
supercluster,n. [天]超星系团
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currently,"adv. 现在, 当前, 一般, 普通
"
currency,"n. 货币, 通货, 流通, 通用
"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
desolate,a. 荒凉的
deteriorate,v. (使)恶化
deterioration,"n. 恶化, 衰退, 退化
"
detriment,"n. 损害, 损害物
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
diversify,"vt. 使多样化, 使变化"
downfall,"n. 衰败, 大雨"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drizzle,"n. 细雨
v. 下毛毛雨"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erupt,"vi. 爆发
vt. 喷出"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
exceptional,"a. 例外的, 异常的, 特别的"
exceptionally,adv. 特殊地；异常地；例外地
exhale,"v. 呼气, 发出, 散发"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
filth,"n. 污秽, 不洁, 猥亵
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
fluff,"n. 软毛, 柔毛, 绒毛, 错误, 无价值的东西
vi. 起毛, 变松, 出错
vt. 使起毛, 抖松, 念错"
ford,"n. 浅滩, 福特汽车
v. 涉过, 涉水"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glaring,"a. 闪耀的, 炫目的, 瞪视的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
"
gnaw,"v. 咬, 啃, 侵蚀, 消耗, 折磨"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
harmful,"a. 有害的, 伤害的"
unharmful,a. 无害的
harmfully,adv. 有害地；伤害地
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
intensify,"vt. 加强
vi. 强化"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
energy-intensive,能源密集型的；能源消耗量大的
intensively,adv. 强烈地；集中地
interval,"n. 间隔, 距离, 间歇, 间隙
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
melting,"a. 熔化的, 温柔的, 令人感动的, 甜美的
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
outlet,"n. 出口, 发泄方法, 市场
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permanently,"adv. 永久, 不变, 持久
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
pressurize,"vt. 迫使, 使增压, 密封, 使耐压
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
prohibit,"vt. 禁止, 阻止
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcity,"n. 缺乏, 不足, 缺少
"
scenery,"n. 风景, 景色, 舞台布景"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
shallowness,n. 浅；肤浅
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
trot,"n. 快步
vi. 快步走, 小跑
vt. 使小跑, 策马小跑"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
unwind,"vt. 展开
"
altitude,"n. 高度, 海拔, 高处
"
antarctic,"a. 南极的, 南极地带的
n. 南极地区"
ape,"n. 无尾猿
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
ascent,"n. 上升, 提高, 攀登, 上坡路"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
axis,"n. 轴
"
axle,"n. 轴, 车轴
"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
bamboo,"n. 竹子
"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beast,"n. 畜生, 动物, 野兽, 兽性"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
binoculars,"n. 双目镜, 双筒镜
"
biotechnology,n. 生物工艺学；生物技术
botanical,"a. 植物学的
n. 植物性药材"
botany,"n. 植物学
"
bouquet,"n. 花束
"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
calf,"n. 小牛, 小牛皮, 腓肠
"
camel,"n. 骆驼, 打捞浮筒"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
canine,"n. 犬齿, 犬
a. 犬的, 似犬的, 犬科的"
cellular,"a. 细胞的
"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
chestnut,"n. 栗子, 栗树, 栗色
a. 栗色的"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
cliff,"n. 悬崖, 绝壁"
clone,"n. 无性系
"
cockroach,"n. 蟑螂
"
coincidence,"n. 巧合, 同时发生
"
comet,n. 彗星
conservation,"n. 保护, 保存
"
constellation,"n. 星座, 荟萃
"
consumption,"n. 消费, 消费量, 痨病
"
coral,"n. 珊瑚, 珊瑚色
"
cornea,"n. 角膜
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
cow,"n. 母牛, 母兽
vt. 威胁"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
cracking,"n. 裂解, 分解
a. 敏捷的, 很好的
adv. 非常, 极其"
cracked,"a. 破碎的, 破裂的, 声音嘶哑的
"
crag,"n. 峭壁, 危岩
"
creature,"n. 人, 动物, 创造物, 生物"
creek,"n. 小溪, 小河, 小湾"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
cyclone,"n. 龙卷风, 暴风
"
daybreak,n. 黎明
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
delta,"n. 三角洲, 希腊字母的第四个字
"
dinosaur,n. 恐龙
dioxide,"n. 二氧化物
"
dissolution,"n. 分解, 溶解, 解散, 结束
"
dove,"n. 鸽子
dive的过去式"
downpour,n. 倾盆大雨；注下
drip,"n. 水滴
v. (使)滴下"
drought,"n. 干旱, 缺乏"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
ecosystem,"n. 生态系统
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
emergence,"n. 出现, 浮现, 发生"
environment,"n. 环境, 外界, 围绕
"
environmentalist,n. 环保人士
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
flea,"n. 跳蚤
"
foggy,"a. 雾深的, 模糊的"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
freshwater,"a. 江河湖泊的, 淡水的"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
fruitless,"a. 不结果的, 不长果实的, 无子的"
gale,"n. 狂风, 大风, 定期租金
"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
gender,"n. 性
vt. 产生"
geographic,"a. 地理(学)的, 地区(性)的"
geographical,"a. 地理学的, 地理的"
glacier,n. 冰川
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
gust,"n. 突然一阵, 趣味, 爱好"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
