nursery,"n. 托儿所, 苗圃, 温床
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
fortnightly,"a. 每两星期一次的, 隔周发行的
n. 双周刊
adv. 隔周, 每两星期一次地"
epithet,"n. 浑名, 绰号, 称号"
suburbia,"n. 都市的郊区, 郊区居民, 郊区居民所特有的风俗习惯"
trigonometry,n. 三角学
recitation,"n. 详述, 吟诵, 背诵的诗
"
procreation,"n. 生产, 生殖
"
downside,n. 底侧；下降趋势
exchequer,"n. (英国)财政部, 国库
"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
penalise,"vt. 对...处以刑罚/刑事惩罚, 惩罚, 处罚, 使处于严重不利地位"
constancy,"n. 坚定不移, 持久不变"
inconstancy,"n. 易变, 不定性, 反复无常"
upend,"v. 颠倒, 倒放"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
hazy,"a. 朦胧的, 模糊的, 烟雾弥漫的"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participatory,"a. 吸引参与的, 供人分享的"
knuckle,"n. 指节, 蹄爪, 膝关节
v. 以指节打, 以手指射"
spokesperson,"n. 发言人, 代言人"
cuff,"n. 袖口, 一巴掌
vt. 用巴掌打
vi. 殴斗"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
stakeholder,"n. 赌金保管者
"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
cop,"n. 警官
vt. 抓住"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
diagnostic,"a. 诊断的, 有助于诊断的, 特征的
n. 诊断, 病的征候, 诊断法
"
lightweight,"n. 不到平均重量的人/物, 轻量级, 无足轻重的人, 性格不够强的人
a. 平均重量以下的, 重量轻的
"
lightly,"adv. 轻轻地, 少许, 不费力地"
obese,"a. 肥胖的
"
obesity,"n. 肥胖
"
efficacy,"n. 功效, 效力
"
overstep,"vt. 踏过, 逾越, 超出...的限度
"
bacterial,"a. 细菌的
"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
laptop,[计] 膝上型的
bandwidth,"n. 频带宽度, 通带宽度
"
harmonisation,"n. 和谐, 协调, 相称
 "
caregiver,"n. 照料者, 护理者"
quirk,"n. 古怪举动, 俏皮话, 急转"
sufficiency,"n. 充足, 充分的数量, 自负"
carcass,"n. 尸体
"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
creepy,"a. 爬行的, 令人毛骨悚然的"
cede,"vt. 割让
"
purplish,a. 略带紫色的
allocate,"vt. 分派, 分配
"
allocation,"n. 配置, 分配, 拨给
"
theological,a. 神学上的
thermostat,"n. 自动调温器, 温度自动启闭装置
"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
hospice,"n. 旅客住宿处, 收容所"
pearly,"a. 珍珠似的, 产珍珠的, 用珍珠装饰的, 用珠母装饰的, 珍贵的"
illustrious,"a. 著名的, 辉煌的, 明亮的"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
whiskey,"n. 威士忌酒
a. 威士忌酒的"
stickiness,"n. 粘性, 胶粘"
limbic,[医] 缘的
meritocracy,n. 精英领导阶级
lineup,"n. 阵容, 阵形, 布阵, 一组人"
outsize,"a. 特大的
n. 特大号"
bulletin,"n. 公告, 布告, 公报
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
annals,"n. 编年史, 活动年报, 历史"
template,"n. 样板, 模板, 垫木
"
disclaim,"v. 放弃, 弃权, 拒绝承认"
stockholder,"n. 股东
"
hydroelectric,"a. 水力电气的
"
vineyard,n. 葡萄园
aspirin,"n. 阿斯匹林
"
inedible,a. 不适于食用的
flagship,n. 旗舰
antithetical,"a. 对立的, 正相反的"
surgical,"a. 外科的, 外科医生的, 手术上的
n. 外科病例, 外科病房, 外科手术"
newsworthy,a. 有报导价值的
hierarchical,"[计] 分级的, 分层的, 层次的"
worshipper,"n. 礼拜者, 崇拜者, 爱慕者"
tort,"n. 民事侵权行为
"
hijack,"vt. 抢劫, 劫持, 敲诈
"
operant,"n. 发生作用之人或物, 工作之人或物
a. 动作的"
hallucination,"n. 幻觉, 幻想
"
turf,"n. 草皮, 泥炭, 跑马场
vt. 覆草皮于"
inventive,"a. 善于创造的, 发明的"
inventiveness,"n. 发明创造能力, 创造性"
trillion,"n. 大量
"
cleanser,"n. 使清洁的东西, 清洁剂, 清洁工
"
savant,"n. 学者, 专家"
femininity,"n. 妇女特质, 温柔, 柔弱性
"
ordination,"n. 任命, 授神职(礼), 颁布法令, 排列"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
homegrown,"a. 自家种植的, 国产的"
orchestrate,v. 编管弦乐曲
zodiac,"n. 黄道带, 黄道十二宫图"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
reluctance,"n. 不情愿, 勉强
"
sedition,"n. 煽动骚乱, 暴动, 妨害治安, 骚动
"
unionise,v. <主英> = unionize
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
doctoral,a. 博士的
ordinate,"n. 纵线, 纵座标
"
deli,n. 熟食店；熟食品（等于delicatessen）
hominid,n. 人科的动物
lender,"n. 出借人, 贷方
"
coupon,"n. 息票, 赠券
"
windfall,"n. 被风吹落的果子, 横财
"
beneficence,"n. 慈善, 善行, 赠物
"
onerous,"a. 繁重的, 负有法律责任的
"
graveyard,n. 墓地
psychiatrist,"n. 精神病医生, 精神病学家
"
dishonour,"n. 不名誉, 使人丢脸的人/事, 耻辱, 不光彩
vt. 使丧失名誉, 使受耻辱, 使丢脸, 奸污, 拒收, 无法偿付, 拒付"
collegiate,"a. 学院的
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
renege,"vi. 违例出牌, 食言, 毁约
vt. 否认, 放弃, 拒绝
n. 出牌违例"
lining,"n. 衬里, 内层, 衬垫
"
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
beacon,"n. 烽火, 灯塔
v. 照亮"
thrift,"n. 节约, 茂盛, 海石竹"
infringement,"n. 违犯, 侵害, 违反, 侵犯
"
heroin,"n. 海洛因, 吗啡
"
composure,"n. 镇静, 沉着"
hyperactive,"a. 活动过度的
"
transcendence,"n. 超越, 卓越, 卓绝"
fruition,"n. 成就, 实现, 结果实"
emulation,"n. 效法, 竞争
"
laminate,"vt. 制成薄板, 制成箔
vi. 分成薄片
a. 薄板状的
n. 层积塑胶板, 薄片制品
"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
astrological,"a. 占星学的, 占星术的"
bummer,"n. 无赖, 游民, 游荡者"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
headhunter,"n. (原始社会中)猎取人头者, 物色人才的人"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
slowdown,"n. 降低速度, 减速"
neurology,"n. 神经病学
"
neurologist,"n. 神经病学者, 神经科医师
"
equate,"vt. 使相等, 视为平等
vi. 等同"
jetty,"n. 突堤, 防波堤, 码头
a. 黑玉般的, 乌黑发亮的
vi. 伸出"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
utopia,"n. 乌托邦, 理想国"
buzzword,n. 流行词
shareholder,"n. 股东
"
espionage,"n. 间谍活动
"
far-fetched,"adj. 强词夺理的
"
swine,"n. 猪, 卑鄙的家伙"
personalise,"vt. (贬)使个人化, 体现, 使人格化, 在(物品)上标明姓名/标出地址/标出记号"
copyright,"n. 版权, 著作权
"
trey,n. 三点的牌
workman,"n. 工人, 工匠, 男工"
hippocampus,"n. [希神][罗神]马头鱼尾的怪兽, [鱼]海马"
hardline,"n. 强硬路线
"
screener,筛
mindset,n. 心态；倾向；习惯；精神状态
deportation,"n. 驱逐出境, 放逐
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
rasher,n. 熏肉薄片
demon,n. 魔鬼
bipedal,[医] 两足的
headway,"n. 前进, 航行速度, 进展
"
fourfold,"a. 四重的, 四倍的, 四垒的
adv. 四倍, 四重"
diner,n. 用餐者
expend,"vt. 花费, 消耗, 用光"
deputy,n. 副手，代理人
brainstorm,"n. 灵机一动
v. 集体讨论"
bin,"n. (贮存谷物等的)容器, 箱子
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
bureaucrat,"n. 官僚作风的人, 官僚, 官僚主义者
"
dropout,"n. 退学学生, 中途退学
"
broadband,[计] 宽带
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
psychoactive,"a. 对神经起显著作用的, 对神经起特殊作用的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
capitalism,"n. 资本主义
"
worrisome,"a. 令人烦恼的, 麻烦的, 劳碌命的"
long-standing,维持；存在已久的
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
cocaine,"n. 可卡因, 古柯碱
"
paternity,"n. 父亲身份, 父系血统, 创始人(身份), 来源, 出处
"
logistics,"n. 后勤学, 后勤
"
disjunction,"n. 分离, 分裂, 分断"
turnaround,"n. 转向, 回车道, 转变
"
broker,"n. 掮客, 经纪人
"
physiologist,"n. 生理学者
"
casino,"n. 卡西诺赌场, 卡西诺牌戏"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
inequity,"n. 不公平, 不公正"
enslavement,"n. 使做奴隶, 使受制, 制服, 束缚, 征服, 奴役
"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
overdress,"v. 穿得过分讲究, (使)过度装饰
n. 外衣"
redundancy,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息
"
healthcare,"n. 医疗保健；卫生保健；健康护理, 健康服务"
presuppose,"vt. 预先假定, 预料, 以...为先决条件"
lingua,"n. 舌
"
envisage,"vt. 面对, 正视, 想象"
overvalue,"vt. 估价过高, 过分尊重, 估计过高"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
skipper,"n. 船长, 机长, 队长"
geophysical,a. 地球物理学的
psychedelic,"a. 引起幻觉的, 荧光的
n. 迷幻剂"
disinfect,"vt. 消毒
"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
mechanistic,"a. 机械学的, 机械论的, 机械论者的
"
deploy,"v. 展开, 配置"
miniaturisation," [医]小型化, 微型化"
hamlet,"n. 小村, 部落"
homicide,"n. 杀人, 杀人者
"
newsprint,"n. 新闻纸
"
fallout,"n. 原子尘的降下, 辐射性微尘, 原子尘, 附带结果
"
daffodil,"n. 水仙花
a. 水仙花色的"
creationism,"n. 创造宇宙说, 特别创造说"
scholastic,"a. 学校的, 学校教育的, 学者的, 学究的
n. 经院哲学家, 学究, 墨守成规者, 学生"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
enthrone,"vt. 立...为王, 使登基, 任为主教, 崇拜"
perpetuity,"n. 永久, 不朽, 终身职位, 终身任期, 永久使用权
"
mouthpiece,"n. 发话筒, 代言人, (电话)送话口
"
homo,
puberty,"n. 青春期, 春情发动期
"
oversize,"a. 太大的, 超大型的
n. 特大型"
hypocritical,"a. 伪善的, 伪善者的"
puritan,"n. 清教徒
a. 清教徒的"
judiciary,"a. 司法的, 法院的, 法官的
n. 司法部, 司法系统, 法官"
fearsome,"a. 吓人的, 可怕的, 害怕的"
breakout,"n. 爆发, 越狱, 突围
"
dependency,"n. 属国, 保护地, 从属物
"
inopportune,"a. 不合时机的, 不巧的"
storehouse,"n. 仓库, 储藏所, 宝库
"
collage,n. 拼贴画
readership,"n. 读者, 读者人数"
domino,"n. 化装外衣, 面具, 骨牌, 多米诺骨牌"
gizmo,"n. 小发明, 小玩意儿"
lopsided,"a. 倾向一方的, 不平衡的"
predominance,"n. 主导地位, 优势"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
workaholic,"n. 工作迷, 醉心于工作的人
"
biotechnology,n. 生物工艺学；生物技术
temperament,"n. 气质, 性格, 性情
"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
awaken,"vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到"
aristocratic,"a. 贵族的, 主张贵族统绐的, 有贵族气派的"
clarity,"n. 清楚, 明晰
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
digit,"n. 数字, 位数, 指头
"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
therapy,"n. 治疗
"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
conducive,"a. 有益于...的, 有助于...的, 助长的"
guideline,"n. 指导路线, 方针, 指标
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
monarchy,"n. 君主政体, 君主国, 君主政治
"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
kinship,"n. 亲属关系
"
corporate,"a. 社团的, 合伙的, 公司的
"
corporation,"n. 公司, 合作, 法人团体
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
inborn,a. 天生的；先天的
superfluous,"a. 多余的, 过剩的"
perceptual,"a. 知觉的, 有知觉的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
irrational,"n. 无理数
a. 无理性的, 不合理的"
rationalisation,n. <主英>=rationalization
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
assimilation,"n. 同化, 同化作用, 吸收
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
invalidate,"vt. 使无效
"
alleviate,"vt. 减轻, 使缓和"
insightful,"a. 有深刻见解的, 富有洞察力的"
insight,"n. 察看, 洞察力, 见识
"
disruptive,"a. 分裂的, 破坏(性)的
"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
innocence,"n. 无罪, 无知, 天真无邪
"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
acquisitive,"a. 渴望获得的, 贪婪的
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
fiscal,"a. 财政的, 国库的
"
outburst,"n. 爆发, 突发, 破裂, 暴乱"
empower,"vt. 授予权力, 允许, 使能够
"
compliance,"n. 遵从, 顺从, 屈从
"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
dissatisfy,"vt. 使感觉不满, 不满足"
dissatisfaction,"n. 不满, 不平"
setback,"n. 挫折, 退步, 逆流"
arrogance,"n. 傲慢态度, 自大"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
stagnation,"n. 淤塞, 停滞
"
misplace,vt. 放错地方
permissible,"a. 可允许的, 可容许程度的
"
intricacy,"n. 纷乱, 复杂, 错综"
gender,"n. 性
vt. 产生"
connotation,"n. 含蓄, 内涵"
anonymity,"n. 匿名, 姓氏不明
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
accountability,"n. 负有责任, 可说明性
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
delinquency,"n. 行为不良, 失职
"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
evaluate,"vt. 评估, 评价, 赋值"
benefactor,"n. 恩人, 捐助者, 施主
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
credible,"a. 可信的, 可靠的
"
credibility,"n. 可信用, 确实性, 可靠
"
inadequacy,"n. 不适当, 不足之处, 不充分
"
intuitive,a. 直觉的
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
oppression,"n. 压抑, 沉闷, 压迫手段
"
renowned,"a. 有名的, 有声誉的"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
enforce,"vt. 强迫, 执行, 坚持
"
biomass,"n. 生物量
"
duplication,"n. 副本, 复制
"
defendant,"n. 被告
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
compulsive,"a. 强制的, 强迫的
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
stereotypical,a. 典型的; 带有成见的
privacy,"n. 隐私, 隐居, 秘密
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimacy,"n. 合法, 正统, 正当
"
disposable,"a. 可任意处理的
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscriber,"n. 签署者, 捐献者, 订户
"
disintegration,"n. 瓦解
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiation,"n. 开始, 指引, 入会
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
greed,"n. 贪欲, 贪婪"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgent,"a. 纵容的, 任性的, 宽容的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
forthcoming,"a. 即将来临的
n. 来临"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
propaganda,"n. 宣传, 宣传活动
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
yearn,"vi. 渴望, 想念, 怀念, 同情"
doctrine,"n. 教条, 学说
"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
optimism,"n. 乐观主义, 乐观, 乐天
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
hostage,"n. 人质, 抵押品
"
forsake,"vt. 放弃, 断念, 抛弃
"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
dedicate,"vt. 献出, 贡献"
diversion,"n. 转移
"
senator,"n. 参议员, (某些大学的)理事
"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
preside,"vi. 统辖, 当主人, 主持
"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
dreadful,a. 可怕的
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
automate,"vt.vi. (使)自动化
"
automation,"n. 自动化, 自动操作
"
